Parent and Person SubClassOf Father, \nTrue
Can Male be considered a subcategory of 'Daughter'?, \nFalse
Can Male be considered a subcategory of 'Man'?, \nFalse
Can Male be considered a subcategory of 'Mother'?, \nFalse
Can Male be considered a subcategory of 'GrandParent'?, \nFalse
Can Male be considered a subcategory of 'Sex'?, \nFalse
Can Male be considered a subcategory of 'Sister'?, \nFalse
Can Male be considered a subcategory of 'OffSpring'?, \nFalse
Can Male be considered a subcategory of 'Woman'?, \nFalse
Can Male be considered a subcategory of 'Sibling'?, \nFalse
Can Male be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasSibling some Thing be considered a subcategory of 'Person'?, \nFalse
Can Father be considered a subcategory of 'something that hasSex some GrandParent'?, \nFalse
Can Parent that is also Woman be considered a subcategory of 'Daughter'?, \nFalse
Can Male be considered a subcategory of 'something that hasParent some Daughter'?, \nFalse
Can Daughter that is also Female be considered a subcategory of 'Sex'?, \nFalse
Can Brother that is also Sex be considered a subcategory of 'Female'?, \nI
Can Female that is also Sister be considered a subcategory of 'Brother'?, \nFalse
Can Female that is also GrandFather be considered a subcategory of 'GrandParent'?, \nFalse
Can something that hasChild some Sister be considered a subcategory of 'Brother'?, \nFalse
Can Father that is also OffSpring be considered a subcategory of 'Son'?, \nFalse
Can OffSpring that is also Person be considered a subcategory of 'Mother'?, \nFalse
Can Daughter that is also Son be considered a subcategory of 'Sex'?, \nFalse
Can Mother be considered a subcategory of 'Man'?, \nFalse
Can OffSpring that is also Woman be considered a subcategory of 'Father'?, \nFalse
Can Sibling be considered a subcategory of 'Woman'?, \nFalse
Can something that hasChild some Father be considered a subcategory of 'GrandMother'?, \nFalse
Can Child be considered a subcategory of 'something that hasChild some Sister'?, \nFalse
Can GrandMother that is also Parent be considered a subcategory of 'Sister'?, \nFalse
Can Child that is also Daughter be considered a subcategory of 'GrandFather'?, \nFalse
Can Sex that is also Sister be considered a subcategory of 'Man'?, I apolog
Can Brother that is also Man be considered a subcategory of 'GrandParent'?, \nFalse
Can GrandParent that is also Woman be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasParent some Son be considered a subcategory of 'Sibling'?, \nFalse
Can Man that is also OffSpring be considered a subcategory of 'Father'?, \nFalse
Can GrandParent that is also Son be considered a subcategory of 'Father'?, \nFalse
Can GrandParent that is also Sex be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandParent that is also Son be considered a subcategory of 'Person'?, \nFalse
Can Female be considered a subcategory of 'something that hasChild some Child'?, \nFalse
Can Daughter that is also Sister be considered a subcategory of 'Male'?, \nFalse
Can Child that is also Daughter be considered a subcategory of 'Male'?, \nFalse
Can Man that is also Parent be considered a subcategory of 'Sister'?, \nFalse
Can Father that is also Person be considered a subcategory of 'GrandParent'?, \nFalse
Can Person that is also Sibling be considered a subcategory of 'Mother'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasParent some Mother'?, \nFalse
Can Daughter that is also Sibling be considered a subcategory of 'Mother'?, \nFalse
Can GrandParent that is also Man be considered a subcategory of 'GrandMother'?, \nFalse
Can Daughter that is also GrandParent be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandMother that is also Person be considered a subcategory of 'Father'?, \nFalse
Can Parent be considered a subcategory of 'something that hasSex some Man'?, \nFalse
Can something that hasParent some Woman be considered a subcategory of 'OffSpring'?, \nFalse
Can Child that is also GrandMother be considered a subcategory of 'Brother'?, \nFalse
Can Child that is also GrandFather be considered a subcategory of 'Woman'?, \nFalse
Can Parent that is also Person be considered a subcategory of 'Woman'?, \nFalse
Can GrandParent that is also Sibling be considered a subcategory of 'Child'?, \nFalse
Can Sex that is also Sibling be considered a subcategory of 'Child'?, \nI
Can Father that is also Parent be considered a subcategory of 'Brother'?, \nFalse
Can GrandParent that is also Man be considered a subcategory of 'Male'?, \nFalse
Can Male be considered a subcategory of 'something that hasSex some Woman'?, \nFalse
Can GrandMother that is also Sibling be considered a subcategory of 'Male'?, \nFalse
Can Brother that is also Female be considered a subcategory of 'Son'?, \nFalse
Can GrandFather that is also Mother be considered a subcategory of 'Parent'?, \nFalse
Can OffSpring that is also Person be considered a subcategory of 'Male'?, \nFalse
Can Female that is also Sex be considered a subcategory of 'GrandMother'?, \nFalse
Can Female that is also Sister be considered a subcategory of 'Parent'?, \nFalse
Can GrandMother that is also GrandParent be considered a subcategory of 'Daughter'?, \nFalse
Can Man that is also Sibling be considered a subcategory of 'Daughter'?, \nFalse
Can Parent be considered a subcategory of 'Sex'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Mother'?, \nFalse
Can Sex be considered a subcategory of 'something that hasSex some Brother'?, \nFalse
Can Brother be considered a subcategory of 'something that hasChild some Mother'?, \nFalse
Can Female that is also GrandParent be considered a subcategory of 'OffSpring'?, \nFalse
Can Mother that is also Sibling be considered a subcategory of 'OffSpring'?, \nFalse
Can something that hasParent some Sex be considered a subcategory of 'Son'?, \nFalse
Can something that hasSibling some Brother be considered a subcategory of 'Son'?, \nFalse
Can GrandMother that is also Son be considered a subcategory of 'Mother'?, \nFalse
Can Daughter that is also Male be considered a subcategory of 'Sex'?, \nFalse
Can Father that is also Person be considered a subcategory of 'OffSpring'?, \nFalse
Can Female that is also GrandFather be considered a subcategory of 'Brother'?, \nFalse
Can Brother that is also Sibling be considered a subcategory of 'GrandMother'?, \nFalse
Can Female be considered a subcategory of 'something that hasParent some Person'?, \nFalse
Can Daughter that is also Father be considered a subcategory of 'Sister'?, \nFalse
Can GrandFather that is also Sex be considered a subcategory of 'Sister'?, \nFalse
Can Male that is also Man be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasSex some Mother be considered a subcategory of 'Man'?, \nFalse
Can Brother be considered a subcategory of 'something that hasSibling some GrandParent'?, \nFalse
Can Sister that is also Woman be considered a subcategory of 'GrandFather'?, \nFalse
Can GrandMother that is also Man be considered a subcategory of 'Sibling'?, \nFalse
Can Father that is also Person be considered a subcategory of 'Sibling'?, \nFalse
Can something that hasSibling some OffSpring be considered a subcategory of 'Man'?, \nFalse
Can Sister that is also Son be considered a subcategory of 'Daughter'?, \nFalse
Can OffSpring that is also Woman be considered a subcategory of 'Mother'?, \nFalse
Can Child be considered a subcategory of 'Sex'?, \nFalse
Can Daughter that is also GrandFather be considered a subcategory of 'Person'?, \nFalse
Can Mother that is also Person be considered a subcategory of 'GrandParent'?, \nFalse
Can Female that is also Man be considered a subcategory of 'Father'?, \nFalse
Can Brother that is also Mother be considered a subcategory of 'Sister'?, \nFalse
Can GrandParent that is also Sister be considered a subcategory of 'Person'?, \nFalse
Can Person be considered a subcategory of 'something that hasParent some Person'?, \nTrue
Can GrandMother be considered a subcategory of 'something that hasParent some Person'?, \nTrue
Can something that hasParent some Person be considered a subcategory of 'something that hasParent some Person'?, \nTrue
Can Female be considered a subcategory of 'Person'?, \nFalse
Can Parent be considered a subcategory of 'Person'?, \nFalse
Can Man be considered a subcategory of 'Person'?, \nFalse
Can Mother be considered a subcategory of 'Person'?, \nFalse
Can GrandParent be considered a subcategory of 'Person'?, \nFalse
Can Sex be considered a subcategory of 'Person'?, \nFalse
Can Sister be considered a subcategory of 'Person'?, \nFalse
Can OffSpring be considered a subcategory of 'Person'?, \nFalse
Can Sibling be considered a subcategory of 'Person'?, \nTrue
Can Sibling be considered a subcategory of 'GrandMother'?, \nFalse
Can Sibling be considered a subcategory of 'Thing'?, \nFalse
Can Sibling be considered a subcategory of 'Son'?, \nFalse
Can Sibling be considered a subcategory of 'Female'?, \nFalse
Can Sibling be considered a subcategory of 'Father'?, \nFalse
Can Sibling be considered a subcategory of 'Child'?, \nFalse
Can Sibling be considered a subcategory of 'Brother'?, \nFalse
Can Sibling be considered a subcategory of 'Parent'?, \nFalse
Can Sibling be considered a subcategory of 'Daughter'?, \nFalse
Can Sibling be considered a subcategory of 'Man'?, \nFalse
Can Sibling be considered a subcategory of 'Mother'?, \nFalse
Can Sibling be considered a subcategory of 'GrandParent'?, \nFalse
Can Sibling be considered a subcategory of 'Sex'?, \nFalse
Can Sibling be considered a subcategory of 'Sister'?, \nFalse
Can Sibling be considered a subcategory of 'OffSpring'?, \nFalse
Can Sibling be considered a subcategory of 'Male'?, \nFalse
Can Sibling be considered a subcategory of 'GrandFather'?, \nFalse
Can OffSpring that is also Woman be considered a subcategory of 'GrandMother'?, \nFalse
Can Male that is also Son be considered a subcategory of 'GrandMother'?, \nFalse
Can Daughter that is also Person be considered a subcategory of 'Man'?, \nFalse
Can Child that is also Female be considered a subcategory of 'Father'?, \nFalse
Can GrandFather that is also Person be considered a subcategory of 'Man'?, \nFalse
Can Child that is also GrandParent be considered a subcategory of 'Person'?, \nFalse
Can Mother that is also Parent be considered a subcategory of 'Father'?, \nFalse
Can OffSpring be considered a subcategory of 'something that hasParent some Sister'?, \nFalse
Can Child be considered a subcategory of 'Male'?, \nFalse
Can something that hasSex some Parent be considered a subcategory of 'Child'?, \nFalse
Can Mother that is also Person be considered a subcategory of 'Parent'?, \nTrue
Can Mother that is also Person be considered a subcategory of 'GrandMother'?, \nFalse
Can Mother that is also Person be considered a subcategory of 'Son'?, \nFalse
Can Mother that is also Person be considered a subcategory of 'Female'?, \nFalse
Can Mother that is also Person be considered a subcategory of 'Father'?, \nFalse
Can Mother that is also Person be considered a subcategory of 'Child'?, \nFalse
Can Mother that is also Person be considered a subcategory of 'Brother'?, \nFalse
Can Mother be considered a subcategory of 'Parent'?, \nTrue
Can Mother be considered a subcategory of 'GrandMother'?, \nFalse
Can Mother be considered a subcategory of 'Thing'?, \nFalse
Can Mother be considered a subcategory of 'Son'?, \nFalse
Can Mother be considered a subcategory of 'Female'?, \nFalse
Can Mother be considered a subcategory of 'Father'?, \nFalse
Can Mother be considered a subcategory of 'Child'?, \nFalse
Can Mother be considered a subcategory of 'Brother'?, \nFalse
Can Mother be considered a subcategory of 'Daughter'?, \nFalse
Can Mother be considered a subcategory of 'GrandParent'?, \nFalse
Can Mother be considered a subcategory of 'Sex'?, \nFalse
Can Mother be considered a subcategory of 'Sister'?, \nFalse
Can Mother be considered a subcategory of 'OffSpring'?, \nFalse
Can Mother be considered a subcategory of 'Woman'?, \nFalse
Can Mother be considered a subcategory of 'Male'?, \nFalse
Can Mother be considered a subcategory of 'Sibling'?, \nFalse
Can Mother be considered a subcategory of 'GrandFather'?, \nFalse
Can Woman be considered a subcategory of 'Male'?, \nFalse
Can GrandParent be considered a subcategory of 'something that hasSex some Brother'?, \nFalse
Can something that hasChild some Man be considered a subcategory of 'Son'?, \nFalse
Can GrandParent that is also Sister be considered a subcategory of 'Son'?, \nFalse
Can OffSpring be considered a subcategory of 'something that hasChild some Parent'?, \nTrue
Can OffSpring be considered a subcategory of 'GrandMother'?, \nFalse
Can OffSpring be considered a subcategory of 'Son'?, \nFalse
Can OffSpring be considered a subcategory of 'Female'?, \nFalse
Can OffSpring be considered a subcategory of 'Father'?, \nFalse
Can OffSpring be considered a subcategory of 'Child'?, \nFalse
Can OffSpring be considered a subcategory of 'Brother'?, \nFalse
Can OffSpring be considered a subcategory of 'Parent'?, \nFalse
Can OffSpring be considered a subcategory of 'Daughter'?, \nFalse
Can OffSpring be considered a subcategory of 'Man'?, \nFalse
Can OffSpring be considered a subcategory of 'Mother'?, \nFalse
Can OffSpring be considered a subcategory of 'GrandParent'?, \nFalse
Can OffSpring be considered a subcategory of 'Sex'?, \nFalse
Can OffSpring be considered a subcategory of 'Sister'?, \nFalse
Can OffSpring be considered a subcategory of 'Woman'?, \nFalse
Can OffSpring be considered a subcategory of 'Male'?, \nFalse
Can OffSpring be considered a subcategory of 'Sibling'?, \nFalse
Can GrandMother be considered a subcategory of 'something that hasChild some Parent'?, \nFalse
Can Thing be considered a subcategory of 'something that hasChild some Parent'?, \nFalse
Can Son be considered a subcategory of 'something that hasChild some Parent'?, \nFalse
Can Female be considered a subcategory of 'something that hasChild some Parent'?, \nFalse
Can Father be considered a subcategory of 'something that hasChild some Parent'?, \nTrue
Can something that hasChild some Parent be considered a subcategory of 'something that hasChild some Parent'?, \nFalse
Can Father be considered a subcategory of 'Father'?, \nFalse
Can Parent be considered a subcategory of 'Father'?, \nFalse
Can Parent be considered a subcategory of 'something that hasChild some Parent'?, \nTrue
Can Parent be considered a subcategory of 'GrandMother'?, \nFalse
Can Parent be considered a subcategory of 'Thing'?, \nFalse
Can Parent be considered a subcategory of 'Son'?, \nFalse
Can Parent be considered a subcategory of 'Female'?, \nFalse
Can Parent be considered a subcategory of 'Child'?, \nFalse
Can Parent be considered a subcategory of 'Brother'?, \nFalse
Can Parent be considered a subcategory of 'Parent'?, \nFalse
Can Parent be considered a subcategory of 'Daughter'?, \nFalse
Can Parent be considered a subcategory of 'Man'?, \nFalse
Can Parent be considered a subcategory of 'Mother'?, \nFalse
Can Parent be considered a subcategory of 'GrandParent'?, \nFalse
Can Parent be considered a subcategory of 'Sister'?, \nFalse
Can Parent be considered a subcategory of 'OffSpring'?, \nFalse
Can Parent be considered a subcategory of 'Woman'?, \nFalse
Can Parent be considered a subcategory of 'Male'?, \nFalse
Can Parent be considered a subcategory of 'Sibling'?, \nFalse
Can Parent be considered a subcategory of 'GrandFather'?, \nFalse
Can Female be considered a subcategory of 'Parent'?, \nFalse
Can Child be considered a subcategory of 'Parent'?, \nFalse
Can Brother be considered a subcategory of 'Parent'?, \nFalse
Can Man be considered a subcategory of 'Parent'?, \nFalse
Can GrandParent be considered a subcategory of 'Parent'?, \nFalse
Can Sex be considered a subcategory of 'Parent'?, \nFalse
Can Sister be considered a subcategory of 'Parent'?, \nFalse
Can Woman be considered a subcategory of 'Parent'?, \nFalse
Can GrandFather be considered a subcategory of 'Parent'?, \nFalse
Can GrandMother that is also Son be considered a subcategory of 'Male'?, \nFalse
Can Daughter that is also Female be considered a subcategory of 'Parent'?, \nTrue
Can Daughter that is also Female be considered a subcategory of 'GrandMother'?, \nFalse
Can Daughter that is also Female be considered a subcategory of 'Son'?, \nFalse
Can Daughter that is also Female be considered a subcategory of 'Father'?, \nFalse
Can Daughter that is also Female be considered a subcategory of 'Person'?, \nFalse
Can Daughter that is also Female be considered a subcategory of 'Brother'?, \nFalse
Can Sex be considered a subcategory of 'something that hasSex some Parent'?, \nFalse
Can Female that is also Mother be considered a subcategory of 'Sister'?, \nFalse
Can Sex that is also Son be considered a subcategory of 'GrandMother'?, \nI
Can Person that is also Woman be considered a subcategory of 'Brother'?, \nFalse
Can OffSpring that is also Parent be considered a subcategory of 'GrandFather'?, \nFalse
Can Son be considered a subcategory of 'something that hasParent some Man'?, \nFalse
Can Sex be considered a subcategory of 'something that hasChild some Sex'?, \nFalse
Can something that hasSibling some Female be considered a subcategory of 'Sister'?, \nFalse
Can Father that is also Mother be considered a subcategory of 'Sister'?, \nFalse
Can GrandParent that is also Parent be considered a subcategory of 'Father'?, \nFalse
Can something that hasParent some Sibling be considered a subcategory of 'Father'?, \nFalse
Can Female that is also Sister be considered a subcategory of 'GrandParent'?, \nFalse
Can Brother that is also Man be considered a subcategory of 'GrandFather'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasSex some Person'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasChild some GrandParent'?, \nFalse
Can something that hasSex some Son be considered a subcategory of 'Daughter'?, \nFalse
Can something that hasSibling some GrandMother be considered a subcategory of 'Daughter'?, \nFalse
Can Mother that is also Woman be considered a subcategory of 'Man'?, \nFalse
Can Male that is also OffSpring be considered a subcategory of 'Female'?, \nFalse
Can something that hasSex some Daughter be considered a subcategory of 'Parent'?, \nFalse
Can something that hasSibling some Sex be considered a subcategory of 'Parent'?, \nFalse
Can Female be considered a subcategory of 'something that hasParent some Female'?, \nFalse
Can Sex that is also Sister be considered a subcategory of 'Son'?, \nFalse
Can Child that is also Sex be considered a subcategory of 'Son'?, \nI
Can GrandParent that is also Sibling be considered a subcategory of 'GrandMother'?, \nFalse
Can Brother that is also Sister be considered a subcategory of 'Male'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasParent some Male'?, \nFalse
Can Daughter that is also Man be considered a subcategory of 'Sex'?, \nFalse
Can Son be considered a subcategory of 'something that hasParent some Person'?, \nFalse
Can Child that is also Sibling be considered a subcategory of 'GrandFather'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'GrandMother'?, \nFalse
Can Daughter that is also Mother be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasChild some Male be considered a subcategory of 'Sister'?, \nFalse
Can Father that is also GrandMother be considered a subcategory of 'Sister'?, \nFalse
Can Father that is also Sister be considered a subcategory of 'OffSpring'?, \nFalse
Can Brother that is also Male be considered a subcategory of 'Son'?, \nTrue
Can Brother that is also Male be considered a subcategory of 'GrandMother'?, \nFalse
Can Brother be considered a subcategory of 'Son'?, \nFalse
Can something that hasParent some Woman be considered a subcategory of 'Son'?, \nFalse
Can Female that is also OffSpring be considered a subcategory of 'Male'?, \nFalse
Can Mother that is also Son be considered a subcategory of 'Male'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'OffSpring'?, \nFalse
Can GrandParent that is also Person be considered a subcategory of 'Parent'?, \nFalse
Can something that hasSex some GrandFather be considered a subcategory of 'Son'?, \nFalse
Can Male that is also Woman be considered a subcategory of 'Child'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasParent some Parent'?, \nTrue
Can Daughter be considered a subcategory of 'something that hasParent some Sex'?, \nFalse
Can Female that is also Sibling be considered a subcategory of 'Child'?, \nFalse
Can Daughter that is also Woman be considered a subcategory of 'Mother'?, \nFalse
Can Father that is also Sister be considered a subcategory of 'Sibling'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Person'?, \nTrue
Can GrandFather that is also Man be considered a subcategory of 'Son'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Female'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Father'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Child'?, \nFalse
Can Child be considered a subcategory of 'something that hasParent some Female'?, \nFalse
Can GrandParent that is also Parent be considered a subcategory of 'Female'?, \nFalse
Can OffSpring that is also Parent be considered a subcategory of 'Sex'?, \nFalse
Can something that hasChild some Sibling be considered a subcategory of 'Daughter'?, \nFalse
Can Brother that is also Daughter be considered a subcategory of 'Sex'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasChild some Brother'?, \nFalse
Can GrandMother that is also Sex be considered a subcategory of 'Mother'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasParent some Sister'?, \nFalse
Can GrandParent that is also Mother be considered a subcategory of 'Sibling'?, \nFalse
Can Child that is also GrandFather be considered a subcategory of 'Father'?, \nFalse
Can Mother that is also Parent be considered a subcategory of 'GrandParent'?, \nFalse
Can Child that is also Female be considered a subcategory of 'GrandParent'?, \nFalse
Can Father that is also GrandParent be considered a subcategory of 'Daughter'?, \nFalse
Can GrandMother be considered a subcategory of 'something that hasChild some Sex'?, \nFalse
Can Child that is also Son be considered a subcategory of 'Brother'?, \nFalse
Can Male that is also Sister be considered a subcategory of 'Mother'?, \nFalse
Can Brother that is also Woman be considered a subcategory of 'Person'?, \nFalse
Can Female be considered a subcategory of 'something that hasChild some Sex'?, \nFalse
Can Father that is also Sex be considered a subcategory of 'Child'?, \nI
Can Sex be considered a subcategory of 'something that hasSibling some Male'?, \nI
Can OffSpring that is also Sibling be considered a subcategory of 'GrandMother'?, \nFalse
Can Daughter that is also Man be considered a subcategory of 'GrandFather'?, \nFalse
Can Male that is also Sex be considered a subcategory of 'GrandFather'?, \nFalse
Can Child that is also Person be considered a subcategory of 'GrandParent'?, \nFalse
Can Brother that is also Woman be considered a subcategory of 'GrandMother'?, \nFalse
Can Male that is also Woman be considered a subcategory of 'GrandMother'?, \nFalse
Can Sex that is also Sibling be considered a subcategory of 'Sister'?, \nI
Can Brother that is also Female be considered a subcategory of 'Sister'?, \nFalse
Can something that hasSibling some Person be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter that is also Sister be considered a subcategory of 'Man'?, \nFalse
Can something that hasSex some GrandFather be considered a subcategory of 'GrandFather'?, \nFalse
Can GrandMother that is also Parent be considered a subcategory of 'Male'?, \nFalse
Can something that hasParent some Father be considered a subcategory of 'Male'?, \nFalse
Can GrandFather that is also GrandParent be considered a subcategory of 'Woman'?, \nFalse
Can Person that is also Son be considered a subcategory of 'GrandParent'?, \nFalse
Can GrandFather that is also GrandMother be considered a subcategory of 'Child'?, \nFalse
Can Female that is also Sex be considered a subcategory of 'Child'?, \nI
Can Male that is also Sibling be considered a subcategory of 'Parent'?, \nFalse
Can Daughter that is also Person be considered a subcategory of 'Mother'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasChild some Mother'?, \nFalse
Can Female that is also Sister be considered a subcategory of 'Male'?, \nFalse
Can something that hasSex some Child be considered a subcategory of 'GrandMother'?, \nFalse
Can something that hasSibling some Parent be considered a subcategory of 'GrandMother'?, \nFalse
Can Father that is also OffSpring be considered a subcategory of 'Female'?, \nFalse
Can GrandFather that is also Son be considered a subcategory of 'Female'?, \nFalse
Can something that hasParent some Man be considered a subcategory of 'Mother'?, \nFalse
Can something that hasSibling some GrandParent be considered a subcategory of 'Sex'?, \nFalse
Can GrandFather that is also Mother be considered a subcategory of 'OffSpring'?, \nFalse
Can Male that is also Sibling be considered a subcategory of 'Woman'?, \nFalse
Can Female be considered a subcategory of 'something that hasSex some OffSpring'?, \nFalse
Can something that hasChild some Parent be considered a subcategory of 'Child'?, \nFalse
Can Sister be considered a subcategory of 'something that hasParent some Child'?, \nFalse
Can Child that is also Daughter be considered a subcategory of 'Brother'?, \nFalse
Can something that hasSex some Sex be considered a subcategory of 'Mother'?, \nFalse
Can Man be considered a subcategory of 'something that hasSibling some Son'?, \nFalse
Can Person that is also Sibling be considered a subcategory of 'Son'?, \nFalse
Can GrandParent that is also Parent be considered a subcategory of 'Woman'?, \nFalse
Can something that hasParent some Sibling be considered a subcategory of 'OffSpring'?, \nFalse
Can GrandMother that is also Sex be considered a subcategory of 'Child'?, \nFalse
Can GrandParent be considered a subcategory of 'something that hasSex some Parent'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasChild some Male'?, \nFalse
Can GrandFather that is also Sex be considered a subcategory of 'OffSpring'?, \nFalse
Can Person that is also Woman be considered a subcategory of 'Female'?, \nFalse
Can Sister be considered a subcategory of 'something that hasParent some Sister'?, \nFalse
Can Man that is also Sister be considered a subcategory of 'Sibling'?, \nFalse
Can GrandParent that is also Person be considered a subcategory of 'GrandMother'?, \nFalse
Can Female that is also OffSpring be considered a subcategory of 'GrandMother'?, \nFalse
Can Child be considered a subcategory of 'something that hasSibling some Son'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Parent'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasChild some Mother'?, \nFalse
Can Female that is also GrandMother be considered a subcategory of 'Sex'?, \nFalse
Can Father that is also Mother be considered a subcategory of 'Person'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasSex some Mother'?, \nFalse
Can Brother that is also Male be considered a subcategory of 'Woman'?, \nFalse
Can something that hasSex some Woman be considered a subcategory of 'Woman'?, \nI
Can Brother that is also Father be considered a subcategory of 'Female'?, \nFalse
Can Sex that is also Woman be considered a subcategory of 'Female'?, \nI
Can Man be considered a subcategory of 'Brother'?, \nFalse
Can GrandParent that is also Person be considered a subcategory of 'Mother'?, \nFalse
Can something that hasChild some Child be considered a subcategory of 'OffSpring'?, \nFalse
Can Sister be considered a subcategory of 'Brother'?, \nFalse
Can Male that is also OffSpring be considered a subcategory of 'Son'?, \nFalse
Can Child be considered a subcategory of 'something that hasParent some Son'?, \nFalse
Can Daughter that is also Sibling be considered a subcategory of 'Male'?, \nFalse
Can Brother that is also Female be considered a subcategory of 'Person'?, \nFalse
Can Father that is also GrandFather be considered a subcategory of 'Sibling'?, \nFalse
Can something that hasSex some Man be considered a subcategory of 'Sex'?, \nFalse
Can something that hasSibling some GrandParent be considered a subcategory of 'Female'?, \nFalse
Can Child that is also Woman be considered a subcategory of 'GrandParent'?, \nFalse
Can Male that is also Parent be considered a subcategory of 'GrandFather'?, \nFalse
Can Male that is also Person be considered a subcategory of 'Sibling'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasSex some Sibling'?, \nFalse
Can Sibling that is also Sister be considered a subcategory of 'Daughter'?, \nFalse
Can Child that is also Daughter be considered a subcategory of 'Mother'?, \nFalse
Can Mother be considered a subcategory of 'something that hasChild some Brother'?, \nFalse
Can Sister be considered a subcategory of 'something that hasSex some Father'?, \nFalse
Can something that hasSibling some Person be considered a subcategory of 'OffSpring'?, \nFalse
Can GrandFather be considered a subcategory of 'Brother'?, \nFalse
Can Man that is also Sex be considered a subcategory of 'Father'?, \nI
Can GrandParent that is also Parent be considered a subcategory of 'Sister'?, \nFalse
Can something that hasChild some Person be considered a subcategory of 'Man'?, \nFalse
Can OffSpring that is also Sibling be considered a subcategory of 'GrandParent'?, \nFalse
Can Female that is also Son be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasParent some GrandMother'?, \nTrue
Can GrandMother be considered a subcategory of 'something that hasParent some GrandMother'?, \nTrue
Can something that hasParent some (Female that is also GrandMother) be considered a subcategory of 'something that hasParent some (Female that is also GrandMother)'?, \nTrue
Can Thing be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Son be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Female be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Father be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Child be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Person be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Brother be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Parent be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Daughter be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Man be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Mother be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can GrandParent be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Sex be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Sister be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can OffSpring be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Woman be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Male be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can Sibling be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can GrandFather be considered a subcategory of 'Female that is also GrandMother'?, \nFalse
Can GrandMother be considered a subcategory of 'Female that is also something that (hasParent some (Female that is also GrandMother))'?, \nTrue
Can GrandMother be considered a subcategory of 'Female that is also Woman that is also something that (hasParent some (Female that is also GrandMother))'?, \nTrue
Can GrandMother be considered a subcategory of 'Female that is also Woman that is also something that (hasParent some (Female that is also GrandMother that is also Woman))'?, \nTrue
Can Female that is also Woman that is also something that (hasParent some (Female that is also GrandMother that is also Woman)) be considered a subcategory of 'Female that is also Woman that is also something that (hasParent some (Female that is also GrandMother that is also Woman))'?, \nTrue
Can Thing be considered a subcategory of 'Female that is also GrandMother that is also Woman'?, \nTrue
Can Sex be considered a subcategory of 'something that hasSibling some GrandMother'?, \nFalse
Can GrandMother be considered a subcategory of 'something that hasChild some Man'?, \nFalse
Can Mother that is also Parent be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasParent some OffSpring be considered a subcategory of 'Man'?, \nFalse
Can something that hasSex some Sex be considered a subcategory of 'Child'?, \nI
Can Man that is also OffSpring be considered a subcategory of 'GrandParent'?, \nFalse
Can Person that is also Woman be considered a subcategory of 'Parent'?, \nFalse
Can GrandFather that is also Woman be considered a subcategory of 'OffSpring'?, \nFalse
