Can Animal that is also Backbone be considered a subcategory of 'Carnivore'?, \nFalse
Can something that eats some Backbone be considered a subcategory of 'Fish'?, \nFalse
Can Carnivore that is also Mammal be considered a subcategory of 'Plant'?, \nFalse
Can Carnivore that is also Meat be considered a subcategory of 'Plant'?, \nFalse
Can Carnivore that is also Elephant be considered a subcategory of 'Bird'?, \nFalse
Can Backbone that is also Mammal be considered a subcategory of 'Reptile'?, \nFalse
Can something that lives_in some Fish be considered a subcategory of 'Fish'?, \nTrue
Can something that lives_in some Fish be considered a subcategory of 'Egg'?, \nFalse
Can something that lives_in some Fish be considered a subcategory of 'Meat'?, \nFalse
Can something that lives_in some Fish be considered a subcategory of 'Carnivore'?, \nFalse
Can something that lives_in some Fish be considered a subcategory of 'Water'?, \nFalse
Can something that lives_in some Fish be considered a subcategory of 'Animal'?, \nFalse
Can something that lives_in some Fish be considered a subcategory of 'Reptile'?, \nFalse
Can something that lives_in some Fish be considered a subcategory of 'Plant'?, \nFalse
Can something that lives_in some Fish be considered a subcategory of 'Vertebrate'?, \nTrue
Can Fish be considered a subcategory of 'Vertebrate'?, \nTrue
Can Thing be considered a subcategory of 'something that lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate)'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Egg'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Water'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Reptile'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Plant'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Herbivore'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Elephant'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Bird'?, \nFalse
Can Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate be considered a subcategory of 'Wing'?, \nFalse
Can something that (lives_in some Animal) that is also something that (lives_in some (Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate)) be considered a subcategory of 'something that lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate)'?, \nTrue
Can something that lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate) be considered a subcategory of 'something that lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate)'?, \nFalse
Can something that lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate) be considered a subcategory of 'Vertebrate'?, \nFalse
Can something that lives_in some (Backbone that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate) be considered a subcategory of 'Vertebrate'?, \nFalse
Can something that lives_in some (Animal that is also Carnivore that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate) be considered a subcategory of 'Vertebrate'?, \nFalse
Can something that lives_in some (Animal that is also Backbone that is also Cat that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate) be considered a subcategory of 'Vertebrate'?, \nFalse
Can something that lives_in some (Animal that is also Backbone that is also Carnivore that is also Fish that is also Leg that is also Mammal that is also Meat that is also Vertebrate) be considered a subcategory of 'Vertebrate'?, \nFalse
Can something that lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Leg that is also Mammal that is also Meat that is also Vertebrate) be considered a subcategory of 'Vertebrate'?, \nTrue
Can something that lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Mammal that is also Meat that is also Vertebrate) be considered a subcategory of 'Vertebrate'?, \nTrue
Can something that lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Meat that is also Vertebrate) be considered a subcategory of 'Vertebrate'?, \nTrue
Can something that lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat that is also Vertebrate) be considered a subcategory of 'Vertebrate'?, \nTrue
Can something that lives_in some (Animal that is also Backbone that is also Carnivore that is also Cat) be considered a subcategory of 'Vertebrate'?, \nTrue
Can Bird that is also Wing be considered a subcategory of 'Water'?, \nFalse
Can Mammal be considered a subcategory of 'something that eats some Water'?, \nFalse
Can Fish be considered a subcategory of 'something that lives_in some Egg'?, \nFalse
Can something that lays some Meat be considered a subcategory of 'Reptile'?, \nFalse
Can something that lays some Water be considered a subcategory of 'Vertebrate'?, \nFalse
Can something that lives_in some Carnivore be considered a subcategory of 'Water'?, \nFalse
Can Herbivore that is also Vertebrate be considered a subcategory of 'Fish'?, \nFalse
Can Backbone that is also Vertebrate be considered a subcategory of 'Plant'?, \nFalse
Can Plant that is also Water be considered a subcategory of 'Fish'?, \nFalse
Can Water be considered a subcategory of 'something that lives_in some Fish'?, \nFalse
Can Backbone that is also Fish be considered a subcategory of 'Reptile'?, \nFalse
Can Cat be considered a subcategory of 'something that eats some Water'?, \nFalse
Can something that lays some Water be considered a subcategory of 'Carnivore'?, \nFalse
Can Egg be considered a subcategory of 'something that lives_in some Egg'?, \nFalse
Can something that eats some Herbivore be considered a subcategory of 'Wing'?, \nFalse
Can Carnivore that is also Fish be considered a subcategory of 'Elephant'?, \nFalse
Can Cat that is also Mammal be considered a subcategory of 'Wing'?, \nFalse
Can Cat that is also Plant be considered a subcategory of 'Herbivore'?, \nFalse
Can Meat that is also Reptile be considered a subcategory of 'Wing'?, \nFalse
Can Herbivore be considered a subcategory of 'something that lays some Water'?, \nFalse
Can Egg that is also Wing be considered a subcategory of 'Water'?, \nFalse
Can Cat that is also Egg be considered a subcategory of 'Water'?, \nFalse
Can Carnivore that is also Mammal be considered a subcategory of 'Wing'?, \nFalse
Can Backbone that is also Plant be considered a subcategory of 'Wing'?, \nFalse
Can Carnivore that is also Herbivore be considered a subcategory of 'Water'?, \nFalse
Can Meat that is also Reptile be considered a subcategory of 'Egg'?, \nFalse
Can Herbivore that is also Reptile be considered a subcategory of 'Egg'?, \nFalse
Can something that lays some Meat be considered a subcategory of 'Plant'?, \nFalse
Can Animal that is also Vertebrate be considered a subcategory of 'Plant'?, \nFalse
Can Elephant be considered a subcategory of 'something that has_part some Plant'?, \nFalse
Can Animal that is also Elephant be considered a subcategory of 'Wing'?, \nFalse
Can Cat that is also Vertebrate be considered a subcategory of 'Herbivore'?, \nFalse
Can something that lays some Egg be considered a subcategory of 'Animal'?, \nTrue
Can something that lays some Egg be considered a subcategory of 'Egg'?, \nTrue
Can Egg be considered a subcategory of 'Egg'?, \nFalse
Can Thing be considered a subcategory of 'something that lays some Egg'?, \nTrue
Can something that lays some Thing be considered a subcategory of 'Egg'?, \nFalse
Can something that eats some Animal be considered a subcategory of 'Wing'?, \nFalse
Can Carnivore that is also Vertebrate be considered a subcategory of 'Herbivore'?, \nFalse
Can Cat that is also Plant be considered a subcategory of 'Water'?, \nFalse
Can Elephant that is also Reptile be considered a subcategory of 'Egg'?, \nFalse
Can something that eats some Animal be considered a subcategory of 'Egg'?, \nFalse
Can Fish be considered a subcategory of 'Wing'?, \nFalse
Can something that lays some Egg be considered a subcategory of 'Plant'?, \nFalse
Can something that has_part some Plant be considered a subcategory of 'Cat'?, \nFalse
Can Bird be considered a subcategory of 'something that lives_in some Herbivore'?, \nFalse
Can Egg that is also Plant be considered a subcategory of 'Vertebrate'?, \nFalse
Can Fish that is also Water be considered a subcategory of 'Plant'?, \nFalse
Can Bird be considered a subcategory of 'something that eats some Cat'?, \nFalse
Can Backbone that is also Fish be considered a subcategory of 'Plant'?, \nFalse
Can something that eats some Animal be considered a subcategory of 'Herbivore'?, \nFalse
Can Animal be considered a subcategory of 'something that lives_in some Cat'?, \nFalse
Can Bird that is also Water be considered a subcategory of 'Herbivore'?, \nFalse
Can Vertebrate that is also Water be considered a subcategory of 'Reptile'?, \nFalse
Can something that eats some Meat be considered a subcategory of 'Egg'?, \nFalse
Can Backbone that is also Carnivore be considered a subcategory of 'Wing'?, \nFalse
Can Fish be considered a subcategory of 'something that lives_in some Cat'?, \nFalse
Can Meat that is also Vertebrate be considered a subcategory of 'Plant'?, \nFalse
Can something that eats some Meat be considered a subcategory of 'Reptile'?, \nFalse
Can Plant that is also Water be considered a subcategory of 'Meat'?, \nFalse
Can Backbone that is also Cat be considered a subcategory of 'Wing'?, \nFalse
Can something that has_part some Herbivore be considered a subcategory of 'Fish'?, \nFalse
Can Animal be considered a subcategory of 'something that eats some Backbone'?, \nFalse
Can Elephant be considered a subcategory of 'something that lays some Plant'?, \nFalse
Can Carnivore be considered a subcategory of 'something that lives_in some Egg'?, \nFalse
Can Fish be considered a subcategory of 'something that eats some Backbone'?, \nFalse
Can Wing be considered a subcategory of 'something that lives_in some Plant'?, \nFalse
Can Water be considered a subcategory of 'something that lives_in some Carnivore'?, \nFalse
Can Cat be considered a subcategory of 'something that lives_in some Wing'?, \nFalse
Animal and Backbone SubClassOf Carnivore, \nFalse
eats some Carnivore SubClassOf Fish, False
has_part some Reptile SubClassOf Egg, False
Meat SubClassOf Water, False
lives_in some Backbone SubClassOf Reptile, \nTrue
lives_in some Backbone SubClassOf Egg, \nTrue
Backbone SubClassOf Egg, \nFalse
Thing SubClassOf lives_in some Backbone, \nFalse
Thing SubClassOf Egg, \nTrue
eats some Bird SubClassOf Cat, \nFalse
Backbone SubClassOf has_part some Leg, \nFalse
Backbone and Fish SubClassOf Carnivore, \nTrue
Backbone and Fish SubClassOf Meat, \nTrue
Fish SubClassOf Meat, False
Backbone SubClassOf Meat, \nFalse
Carnivore and Herbivore SubClassOf Fish, False
Meat and Reptile SubClassOf Water, False
Cat and Water SubClassOf Leg, \nTrue
Cat and Water SubClassOf Meat, False
Cat and Water SubClassOf Carnivore, False
Cat and Water SubClassOf Animal, False
Cat and Water SubClassOf Reptile, False
Cat and Water SubClassOf Plant, False
Cat and Water SubClassOf Vertebrate, \nTrue
Cat SubClassOf Vertebrate, \nTrue
Cat SubClassOf Egg, False
Cat SubClassOf Meat, False
Cat SubClassOf Carnivore, True
Cat SubClassOf Carnivore and Vertebrate, True
Cat SubClassOf Water, False
Cat SubClassOf Animal, False
Cat SubClassOf Reptile, \nFalse
Cat SubClassOf Plant, \nFalse
Cat SubClassOf Fish, \nFalse
Cat SubClassOf Mammal, False
Cat SubClassOf Herbivore, False
Cat SubClassOf Leg, False
Cat SubClassOf Elephant, False
Cat SubClassOf Bird, False
Cat SubClassOf Backbone, False
Cat SubClassOf Wing, False
Meat and Plant SubClassOf Backbone, \nTrue
Meat and Plant SubClassOf Carnivore, False
Meat and Plant SubClassOf Water, \nFalse
Meat and Plant SubClassOf Animal, \nTrue
Meat SubClassOf Animal, True
Meat SubClassOf Egg, False
Meat SubClassOf Carnivore, False
Meat SubClassOf Reptile, False
Meat SubClassOf Plant, \nFalse
Meat SubClassOf Vertebrate, \nTrue
Meat SubClassOf Animal and Vertebrate, True
Meat SubClassOf Cat, False
Meat SubClassOf Fish, \nFalse
Meat SubClassOf Mammal, \nTrue
Meat SubClassOf Animal and Mammal and Vertebrate, \nTrue
Meat SubClassOf Herbivore, False
Meat SubClassOf Leg, \nTrue
Meat SubClassOf Animal and Leg and Mammal and Vertebrate, \nTrue
Meat SubClassOf Elephant, False
Meat SubClassOf Bird, False
Meat SubClassOf Backbone, \nFalse
Meat SubClassOf Wing, False
Animal and Backbone SubClassOf Water, False
eats some Water SubClassOf Carnivore, \nTrue
eats some Water SubClassOf Meat, \nFalse
Water SubClassOf Carnivore, False
Egg and Thing SubClassOf Egg and Thing and (eats some (Egg and Water and Thing)), \nTrue
Egg and Water and Thing SubClassOf Meat, \nFalse
Egg and Water and Thing SubClassOf Carnivore, \nTrue
Water and Thing SubClassOf Carnivore, False
Egg and Thing SubClassOf Carnivore, \nFalse
lives_in some Backbone SubClassOf Meat, \nFalse
lives_in some Backbone SubClassOf Carnivore, \nTrue
Backbone SubClassOf Carnivore, \nTrue
Backbone SubClassOf Water, \nFalse
Backbone SubClassOf Animal, False
Backbone SubClassOf Reptile, False
Backbone SubClassOf Plant, \nTrue
Backbone SubClassOf Carnivore and Plant, \nFalse
Backbone SubClassOf Vertebrate, \nTrue
Backbone SubClassOf Carnivore and Vertebrate, \nTrue
Backbone SubClassOf Cat, False
Backbone SubClassOf Fish, \nFalse
Backbone SubClassOf Mammal, \nTrue
Backbone SubClassOf Carnivore and Mammal and Vertebrate, \nTrue
Backbone SubClassOf Herbivore, \nFalse
Backbone SubClassOf Leg, False
Backbone SubClassOf Elephant, False
Backbone SubClassOf Bird, False
Backbone SubClassOf Wing, \nTrue
Backbone SubClassOf Carnivore and Mammal and Vertebrate and Wing, \nTrue
Backbone SubClassOf Carnivore and Mammal and Plant and Vertebrate and Wing, \nHere
Vertebrate and Water SubClassOf Leg, \nTrue
Vertebrate and Water SubClassOf Meat, False
Vertebrate and Water SubClassOf Animal, \nTrue
Vertebrate SubClassOf Animal, \nTrue
Vertebrate SubClassOf Egg, False
Vertebrate SubClassOf Meat, False
Vertebrate SubClassOf Carnivore, \nTrue
Vertebrate SubClassOf Animal and Carnivore, \nTrue
Vertebrate SubClassOf Water, \nFalse
Vertebrate SubClassOf Reptile, \nTrue
Vertebrate SubClassOf Animal and Carnivore and Reptile, \nTrue
Vertebrate SubClassOf Plant, \nFalse
Vertebrate SubClassOf Cat, False
Vertebrate SubClassOf Fish, \nFalse
Vertebrate SubClassOf Mammal, \nTrue
Vertebrate SubClassOf Animal and Carnivore and Mammal and Reptile, \nTrue
Vertebrate SubClassOf Herbivore, False
Vertebrate SubClassOf Leg, False
Vertebrate SubClassOf Elephant, \nFalse
Vertebrate SubClassOf Bird, \nFalse
Vertebrate SubClassOf Backbone, \nTrue
Vertebrate SubClassOf Animal and Backbone and Carnivore and Mammal and Reptile, \nHere
Vertebrate SubClassOf Wing, \nTrue
Vertebrate SubClassOf Animal and Carnivore and Mammal and Reptile and Wing, \nHere
Carnivore and Reptile SubClassOf Fish, False
Bird SubClassOf lays some Backbone, \nFalse
Backbone and Fish SubClassOf Water, \nFalse
Elephant and Water SubClassOf Vertebrate, \nTrue
Elephant and Water SubClassOf Meat, False
Elephant and Water SubClassOf Animal, \nTrue
Water SubClassOf Animal, \nFalse
Elephant SubClassOf Animal, \nTrue
Elephant SubClassOf Egg, False
Elephant SubClassOf Meat, False
Elephant SubClassOf Carnivore, \nFalse
Elephant SubClassOf Water, False
Elephant SubClassOf Reptile, False
Elephant SubClassOf Plant, \nFalse
Elephant SubClassOf Vertebrate, \nTrue
Elephant SubClassOf Animal and Vertebrate, \nTrue
Elephant SubClassOf Cat, \nFalse
Elephant SubClassOf Fish, \nFalse
Elephant SubClassOf Mammal, True
Elephant SubClassOf Animal and Mammal and Vertebrate, \nTrue
Elephant SubClassOf Herbivore, True
Elephant SubClassOf Animal and Herbivore and Mammal and Vertebrate, \nTrue
Elephant SubClassOf Leg, False
Elephant SubClassOf Bird, \nFalse
Elephant SubClassOf Backbone, False
Elephant SubClassOf Wing, \nFalse
Backbone and Meat SubClassOf Elephant, \nFalse
Fish and Leg SubClassOf Vertebrate, \nFalse
Egg and Mammal SubClassOf Backbone, \nTrue
Egg and Mammal SubClassOf Meat, \nFalse
Egg and Mammal SubClassOf Carnivore, False
Egg and Mammal SubClassOf Water, \nFalse
Egg and Mammal SubClassOf Animal, \nTrue
Egg SubClassOf Animal, \nFalse
Mammal SubClassOf Animal, \nTrue
Mammal SubClassOf Egg, \nFalse
Mammal SubClassOf Meat, \nFalse
Mammal SubClassOf Carnivore, \nFalse
Mammal SubClassOf Water, \nFalse
Mammal SubClassOf Reptile, \nFalse
Mammal SubClassOf Plant, \nFalse
Mammal SubClassOf Vertebrate, \nTrue
Mammal SubClassOf Animal and Vertebrate, \nTrue
Mammal SubClassOf Cat, \nFalse
Mammal SubClassOf Fish, False
Mammal SubClassOf Herbivore, \nFalse
Mammal SubClassOf Leg, \nFalse
Mammal SubClassOf Elephant, \nFalse
Mammal SubClassOf Bird, \nFalse
Mammal SubClassOf Backbone, False
Mammal SubClassOf Wing, False
Egg and Leg SubClassOf Vertebrate, \nFalse
has_part some Cat SubClassOf Water, \nTrue
has_part some Cat SubClassOf Meat, \nTrue
Egg and Thing SubClassOf Egg and Thing and (has_part some (Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing)), \nTrue
Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing SubClassOf Meat, \nHere
Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing SubClassOf Water, \nHere
Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing SubClassOf Plant, \nHere
Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing SubClassOf Fish, \nHere
Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing SubClassOf Herbivore, \nHere
Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing SubClassOf Leg, \nHere
Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing SubClassOf Elephant, \nHere
Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing SubClassOf Bird, \nHere
Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing SubClassOf Backbone, \nHere
Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing SubClassOf Wing, \nHere
Egg and Thing and (has_part some Animal) and (has_part some (Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing)) SubClassOf Egg and Thing and (has_part some (Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing)), \nTrue
Egg and Thing and (has_part some (Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing)) SubClassOf Egg and Thing and (has_part some (Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing)), \nTrue
Thing and (has_part some (Animal and Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing)) SubClassOf Meat, \nTrue
Thing and (has_part some (Carnivore and Cat and Egg and Mammal and Reptile and Vertebrate and Thing)) SubClassOf Meat, \nTrue
Thing and (has_part some (Cat and Egg and Mammal and Reptile and Vertebrate and Thing)) SubClassOf Meat, \nTrue
Thing and (has_part some (Egg and Mammal and Reptile and Vertebrate and Thing)) SubClassOf Meat, \nTrue
Thing and (has_part some (Mammal and Reptile and Vertebrate and Thing)) SubClassOf Meat, \nTrue
Thing and (has_part some (Reptile and Vertebrate and Thing)) SubClassOf Meat, \nTrue
Thing and (has_part some (Vertebrate and Thing)) SubClassOf Meat, \nTrue
Thing and (has_part some Thing) SubClassOf Meat, \nTrue
Mammal and Vertebrate SubClassOf Wing, \nFalse
Cat and Mammal SubClassOf Backbone, \nTrue
Cat and Mammal SubClassOf Meat, False
Cat and Mammal SubClassOf Water, False
Cat and Mammal SubClassOf Plant, \nFalse
Cat and Mammal SubClassOf Fish, \nFalse
Cat and Mammal SubClassOf Herbivore, False
Cat and Mammal SubClassOf Leg, \nTrue
Bird and Vertebrate SubClassOf Leg, \nTrue
Bird and Vertebrate SubClassOf Meat, \nFalse
Bird and Vertebrate SubClassOf Water, \nFalse
Bird and Vertebrate SubClassOf Plant, \nFalse
Bird and Vertebrate SubClassOf Cat, \nFalse
Bird and Vertebrate SubClassOf Fish, \nFalse
Bird and Vertebrate SubClassOf Herbivore, \nFalse
Bird SubClassOf Leg, \nTrue
Bird SubClassOf Egg, \nFalse
Bird SubClassOf Meat, \nFalse
Bird SubClassOf Carnivore, \nFalse
Bird SubClassOf Water, \nFalse
Bird SubClassOf Animal, \nFalse
Bird SubClassOf Reptile, \nFalse
Bird SubClassOf Plant, False
Bird SubClassOf Vertebrate, \nTrue
Bird SubClassOf Leg and Vertebrate, \nTrue
Bird SubClassOf Cat, \nFalse
Bird SubClassOf Fish, False
Bird SubClassOf Mammal, \nFalse
Bird SubClassOf Herbivore, \nFalse
Bird SubClassOf Elephant, \nFalse
Bird SubClassOf Backbone, \nTrue
Bird SubClassOf Backbone and Leg and Vertebrate, \nTrue
Bird SubClassOf Wing, \nTrue
Bird SubClassOf Backbone and Leg and Vertebrate and Wing, \nTrue
Animal SubClassOf lays some Vertebrate, \nTrue
Animal SubClassOf Meat, False
Animal SubClassOf Carnivore, \nTrue
Animal SubClassOf Egg, \nFalse
Animal SubClassOf Water, False
Animal SubClassOf Reptile, \nTrue
Animal SubClassOf Carnivore and Reptile, \nTrue
Animal SubClassOf Plant, \nFalse
Animal SubClassOf Vertebrate, \nTrue
Animal SubClassOf Carnivore and Reptile and Vertebrate, \nTrue
Animal SubClassOf Cat, \nFalse
Animal SubClassOf Fish, False
Animal SubClassOf Mammal, \nTrue
Animal SubClassOf Carnivore and Mammal and Reptile and Vertebrate, \nTrue
Animal SubClassOf Herbivore, \nTrue
Animal SubClassOf Carnivore and Herbivore and Mammal and Reptile and Vertebrate, \nTrue
Animal SubClassOf Leg, False
Animal SubClassOf Elephant, \nFalse
Animal SubClassOf Bird, False
Animal SubClassOf Backbone, \nTrue
Animal SubClassOf Backbone and Carnivore and Herbivore and Mammal and Reptile and Vertebrate, \nHere
Animal SubClassOf Wing, \nFalse
Animal and Elephant SubClassOf Water, \nFalse
Animal and Mammal SubClassOf Wing, \nFalse
Animal and Cat SubClassOf Backbone, \nTrue
Animal and Cat SubClassOf Meat, False
Animal and Cat SubClassOf Water, False
Animal and Cat SubClassOf Plant, \nFalse
Animal and Cat SubClassOf Fish, \nFalse
Animal and Cat SubClassOf Elephant, \nFalse
Animal and Cat SubClassOf Bird, False
Animal SubClassOf Backbone and Carnivore, \nTrue
Animal SubClassOf Backbone and Carnivore and Reptile, \nTrue
Animal SubClassOf Backbone and Carnivore and Reptile and Vertebrate, \nTrue
Animal SubClassOf Backbone and Carnivore and Mammal and Reptile and Vertebrate, \nTrue
lays some Vertebrate SubClassOf Leg, \nTrue
lays some Vertebrate SubClassOf Meat, False
lays some Vertebrate SubClassOf Carnivore, \nTrue
Egg and Thing SubClassOf Egg and Thing and (lays some (Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)), \nTrue
Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing SubClassOf Meat, \nHere
Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing SubClassOf Water, \nHere
Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing SubClassOf Plant, \nHere
Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing SubClassOf Cat, \nHere
Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing SubClassOf Fish, \nHere
Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing SubClassOf Leg, \nHere
Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing SubClassOf Elephant, \nHere
Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing SubClassOf Bird, \nHere
Egg and Thing and (lays some Animal) and (lays some (Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)) SubClassOf Egg and Thing and (lays some (Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)), \nTrue
Egg and Thing and (lays some (Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)) SubClassOf Egg and Thing and (lays some (Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)), \nTrue
Thing and (lays some (Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)) SubClassOf Carnivore, \nFalse
Egg and Thing and (lays some (Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)) SubClassOf Carnivore, \nTrue
Egg and Thing and (lays some (Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)) SubClassOf Carnivore, \nTrue
Egg and Thing and (lays some (Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)) SubClassOf Carnivore, \nTrue
Egg and Thing and (lays some (Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)) SubClassOf Carnivore, \nTrue
Egg and Thing and (lays some (Mammal and Reptile and Vertebrate and Wing and Thing)) SubClassOf Carnivore, \nFalse
Egg and Thing and (lays some (Herbivore and Reptile and Vertebrate and Wing and Thing)) SubClassOf Carnivore, \nFalse
Egg and Thing and (lays some (Herbivore and Mammal and Vertebrate and Wing and Thing)) SubClassOf Carnivore, \nFalse
Egg and Thing and (lays some (Herbivore and Mammal and Reptile and Wing and Thing)) SubClassOf Carnivore, \nFalse
Egg and Thing and (lays some (Herbivore and Mammal and Reptile and Vertebrate and Thing)) SubClassOf Carnivore, \nTrue
Animal and Leg SubClassOf Bird, \nFalse
has_part some Reptile SubClassOf Elephant, False
lives_in some Leg SubClassOf Leg, \nTrue
lives_in some Leg SubClassOf Meat, \nFalse
lives_in some Leg SubClassOf Carnivore, \nTrue
Leg SubClassOf Carnivore, False
Egg and Thing SubClassOf Egg and Thing and (lives_in some (Egg and Leg and Thing)), \nTrue
Egg and Leg and Thing SubClassOf Meat, \nTrue
Leg and Thing SubClassOf Meat, \nFalse
Egg and Thing SubClassOf Meat, \nFalse
lays some Wing SubClassOf Herbivore, \nFalse
Cat and Wing SubClassOf Elephant, \nFalse
lays some Vertebrate SubClassOf Reptile, \nTrue
lays some Vertebrate SubClassOf Water, False
lays some Vertebrate SubClassOf Animal, \nTrue
Carnivore and Egg and Thing SubClassOf Carnivore and Egg and Thing and (lays some (Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)), \nTrue
Carnivore and Egg and Thing and (lays some Animal) and (lays some (Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)) SubClassOf Carnivore and Egg and Thing and (lays some (Animal and Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)), \nHere
Carnivore and Egg and Thing and (lays some Animal) and (lays some (Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)) SubClassOf Animal, \nTrue
Carnivore and Egg and Thing and (lays some Animal) and (lays some Backbone) and (lays some (Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)) SubClassOf Carnivore and Egg and Thing and (lays some Animal) and (lays some (Backbone and Carnivore and Egg and Herbivore and Mammal and Reptile and Vertebrate and Wing and Thing)), \nTrue
