Parent and Person SubClassOf Father, \nTrue
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Son and Woman and Thing)) and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) and (hasParent some (GrandFather and GrandParent and Mother and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSibling some (GrandMother and GrandParent and Man and Woman)), Here are
GrandMother SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (GrandMother and GrandParent and Mother and Sister and Son and Woman and Thing)) and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) and (hasParent some (GrandFather and GrandParent and Mother and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSibling some (GrandMother and Man and Woman)), Here are
Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Female and GrandMother and GrandParent and Mother and Sister and Son and Woman and Thing)) SubClassOf Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing and (hasChild some (Female and GrandMother and GrandParent and Mother and Sister and Son and Woman and Thing)) and (hasChild some (GrandMother and GrandParent and Mother and Sister and Woman)) and (hasParent some (GrandFather and GrandParent and Mother and Woman)) and (hasSex some (Brother and Child and Daughter and Father and Female and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Woman and Thing)) and (hasSex some (Brother and Child and Daughter and Father and GrandFather and GrandMother and GrandParent and Male and Man and Mother and OffSpring and Parent and Person and Sex and Sibling and Sister and Son and Thing)) and (hasSibling some (GrandMother and Man and Woman)), Okay
Can Parent that is also Person be considered a subcategory of 'Father'?, \nTrue
Can Parent that is also Person be considered a subcategory of 'GrandMother'?, True
Can Person be considered a subcategory of 'GrandMother'?, True
Can Person be considered a subcategory of 'Thing'?, \nFalse
Can Person be considered a subcategory of 'Son'?, True
Can Person be considered a subcategory of 'GrandMother that is also Son'?, False
Can Person be considered a subcategory of 'Female'?, \nFalse
Can Person be considered a subcategory of 'Father'?, \nFalse
Can Person be considered a subcategory of 'Child'?, True
Can Person be considered a subcategory of 'Child that is also GrandMother'?, \nFalse
Can Person be considered a subcategory of 'Brother'?, True
Can Person be considered a subcategory of 'Brother that is also GrandMother'?, False
Can Person be considered a subcategory of 'Parent'?, True
Can Person be considered a subcategory of 'GrandMother that is also Parent'?, True
Can Person be considered a subcategory of 'Daughter'?, False
Can Person be considered a subcategory of 'Man'?, \nFalse
Can Person be considered a subcategory of 'Mother'?, True
Can Person be considered a subcategory of 'GrandMother that is also Mother that is also Parent'?, \nFalse
Can Person be considered a subcategory of 'GrandParent'?, False
Can Person be considered a subcategory of 'Sex'?, \nTrue
Can Person be considered a subcategory of 'GrandMother that is also Parent that is also Sex'?, False
Can Person be considered a subcategory of 'Sister'?, \nFalse
Can Person be considered a subcategory of 'OffSpring'?, \nFalse
Can Person be considered a subcategory of 'Woman'?, True
Can Person be considered a subcategory of 'GrandMother that is also Parent that is also Woman'?, True
Can Person be considered a subcategory of 'Male'?, True
Can Person be considered a subcategory of 'GrandMother that is also Male that is also Parent that is also Woman'?, True
Can Person be considered a subcategory of 'Sibling'?, True
Can Person be considered a subcategory of 'GrandMother that is also Male that is also Parent that is also Sibling that is also Woman'?, True
Can Person be considered a subcategory of 'GrandFather'?, False
Can Person be considered a subcategory of 'GrandMother that is also Male that is also Parent that is also Sibling that is also Son that is also Woman'?, \nFalse
Can Person be considered a subcategory of 'Child that is also GrandMother that is also Male that is also Parent that is also Sibling that is also Woman'?, True
Can Person be considered a subcategory of 'Brother that is also Child that is also GrandMother that is also Male that is also Parent that is also Sibling that is also Woman'?, True
Can Person be considered a subcategory of 'Brother that is also Child that is also GrandMother that is also Male that is also Mother that is also Parent that is also Sibling that is also Woman'?, False.
Can Person be considered a subcategory of 'Brother that is also Child that is also GrandMother that is also Male that is also Parent that is also Sex that is also Sibling that is also Woman'?, True
Can GrandFather be considered a subcategory of 'OffSpring'?, \nFalse
Can something that hasParent some GrandMother be considered a subcategory of 'Male'?, \nFalse
Can GrandMother that is also GrandParent be considered a subcategory of 'OffSpring'?, True
Can GrandMother that is also GrandParent be considered a subcategory of 'Son'?, \nFalse
Can GrandMother that is also GrandParent be considered a subcategory of 'Female'?, True
Can GrandParent be considered a subcategory of 'Female'?, True
Can GrandParent be considered a subcategory of 'GrandMother'?, True
Can GrandParent be considered a subcategory of 'Female that is also GrandMother'?, True
Can GrandParent be considered a subcategory of 'Thing'?, True
Can GrandParent be considered a subcategory of 'Female that is also GrandMother that is also Thing'?, \nFalse
Can GrandParent be considered a subcategory of 'Son'?, \nFalse
Can GrandParent be considered a subcategory of 'Father'?, True
Can GrandParent be considered a subcategory of 'Father that is also Female that is also GrandMother'?, \nFalse
Can GrandParent be considered a subcategory of 'Child'?, True
Can GrandParent be considered a subcategory of 'Child that is also Female that is also GrandMother'?, \nFalse
Can GrandParent be considered a subcategory of 'Person'?, \nFalse
Can GrandParent be considered a subcategory of 'Brother'?, True
Can GrandParent be considered a subcategory of 'Brother that is also Female that is also GrandMother'?, \nFalse
Can GrandParent be considered a subcategory of 'Parent'?, \nTrue
Can GrandParent be considered a subcategory of 'Female that is also GrandMother that is also Parent'?, True
Can GrandParent be considered a subcategory of 'Daughter'?, True
Can GrandParent be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Parent'?, \nFalse
Can GrandParent be considered a subcategory of 'Man'?, True
Can GrandParent be considered a subcategory of 'Female that is also GrandMother that is also Man that is also Parent'?, \nFalse
Can GrandParent be considered a subcategory of 'Mother'?, True
Can GrandParent be considered a subcategory of 'Female that is also GrandMother that is also Mother that is also Parent'?, \nFalse
Can GrandParent be considered a subcategory of 'Sex'?, \nFalse
Can GrandParent be considered a subcategory of 'Sister'?, True
Can GrandParent be considered a subcategory of 'Female that is also GrandMother that is also Parent that is also Sister'?, \nFalse
Can GrandParent be considered a subcategory of 'OffSpring'?, \nFalse
Can GrandParent be considered a subcategory of 'Woman'?, True
Can GrandParent be considered a subcategory of 'Female that is also GrandMother that is also Parent that is also Woman'?, \nFalse
Can GrandParent be considered a subcategory of 'Male'?, False
Can GrandParent be considered a subcategory of 'Sibling'?, \nFalse
Can GrandParent be considered a subcategory of 'GrandFather'?, \nFalse
Can GrandParent be considered a subcategory of 'Female that is also GrandMother that is also Parent that is also Thing'?, True
Can GrandParent be considered a subcategory of 'Father that is also Female that is also GrandMother that is also Parent that is also Thing'?, True
Can GrandParent be considered a subcategory of 'Child that is also Father that is also Female that is also GrandMother that is also Parent that is also Thing'?, False
Can GrandParent be considered a subcategory of 'Brother that is also Father that is also Female that is also GrandMother that is also Parent that is also Thing'?, True
Can GrandParent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Parent that is also Thing'?, True
Can GrandParent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Man that is also Parent that is also Thing'?, True
Can GrandParent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Man that is also Mother that is also Parent that is also Thing'?, True
Can GrandParent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Man that is also Mother that is also Parent that is also Sister that is also Thing'?, \nFalse
Can GrandParent be considered a subcategory of 'Brother that is also Daughter that is also Father that is also Female that is also GrandMother that is also Man that is also Mother that is also Parent that is also Woman that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'something that hasSex some Parent'?, \nFalse
Can Parent be considered a subcategory of 'something that hasChild some Male'?, \nTrue
Can Parent be considered a subcategory of 'GrandMother'?, True
Can Parent be considered a subcategory of 'Thing'?, True
Can Parent be considered a subcategory of 'GrandMother that is also Thing'?, False
Can Parent be considered a subcategory of 'Son'?, True
Can Parent be considered a subcategory of 'GrandMother that is also Son'?, True
Can Parent be considered a subcategory of 'Female'?, \nFalse
Can Parent be considered a subcategory of 'Father'?, True
Can Parent be considered a subcategory of 'Father that is also GrandMother that is also Son'?, False
Can Parent be considered a subcategory of 'Child'?, True
Can Parent be considered a subcategory of 'Child that is also GrandMother that is also Son'?, True
Can Parent be considered a subcategory of 'Person'?, True
Can Parent be considered a subcategory of 'Child that is also GrandMother that is also Person that is also Son'?, \nFalse
Can Parent be considered a subcategory of 'Brother'?, \nFalse
Can Parent be considered a subcategory of 'Daughter'?, True
Can Parent be considered a subcategory of 'Child that is also Daughter that is also GrandMother that is also Son'?, True
Can Parent be considered a subcategory of 'Man'?, True
Can Parent be considered a subcategory of 'Child that is also Daughter that is also GrandMother that is also Man that is also Son'?, \nFalse
Can Parent be considered a subcategory of 'Mother'?, False
Can Parent be considered a subcategory of 'GrandParent'?, \nFalse
Can Parent be considered a subcategory of 'Sex'?, \nFalse
Can Parent be considered a subcategory of 'Sister'?, True
Can Parent be considered a subcategory of 'Child that is also Daughter that is also GrandMother that is also Sister that is also Son'?, \nFalse
Can Parent be considered a subcategory of 'OffSpring'?, \nFalse
Can Parent be considered a subcategory of 'Woman'?, True
Can Parent be considered a subcategory of 'Child that is also Daughter that is also GrandMother that is also Son that is also Woman'?, True
Can Parent be considered a subcategory of 'Male'?, \nFalse
Can Parent be considered a subcategory of 'Sibling'?, True
Can Parent be considered a subcategory of 'Child that is also Daughter that is also GrandMother that is also Sibling that is also Son that is also Woman'?, False
Can Parent be considered a subcategory of 'GrandFather'?, True
Can Parent be considered a subcategory of 'Child that is also Daughter that is also GrandFather that is also GrandMother that is also Son that is also Woman'?, True
Can Parent be considered a subcategory of 'Child that is also Daughter that is also GrandFather that is also GrandMother that is also Son that is also Woman that is also Thing'?, True
Can Parent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandFather that is also GrandMother that is also Son that is also Woman that is also Thing'?, True
Can Parent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandFather that is also GrandMother that is also Person that is also Son that is also Woman that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandFather that is also GrandMother that is also Man that is also Son that is also Woman that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandFather that is also GrandMother that is also Sister that is also Son that is also Woman that is also Thing'?, \nFalse
Can Parent be considered a subcategory of 'Child that is also Daughter that is also Father that is also GrandFather that is also GrandMother that is also Sibling that is also Son that is also Woman that is also Thing'?, \nFalse
Can Female that is also GrandMother be considered a subcategory of 'Daughter'?, True
Can Female that is also GrandMother be considered a subcategory of 'Son'?, False
Can Female that is also GrandMother be considered a subcategory of 'Father'?, \nFalse
Can Female that is also GrandMother be considered a subcategory of 'Child'?, False
Can Female that is also GrandMother be considered a subcategory of 'Person'?, \nFalse
Can Female that is also GrandMother be considered a subcategory of 'Brother'?, True
Can GrandMother be considered a subcategory of 'Brother'?, False
Can Female be considered a subcategory of 'Brother'?, False
Can GrandFather be considered a subcategory of 'Daughter'?, False
Can Father that is also Mother be considered a subcategory of 'Male'?, \nFalse
Can Daughter that is also OffSpring be considered a subcategory of 'Father'?, \nFalse
Can Male that is also Mother be considered a subcategory of 'Sister'?, \nFalse
Can something that hasSex some OffSpring be considered a subcategory of 'GrandMother'?, True
Can OffSpring be considered a subcategory of 'GrandMother'?, True
Can OffSpring be considered a subcategory of 'Thing'?, \nTrue
Can OffSpring be considered a subcategory of 'GrandMother that is also Thing'?, \nFalse
Can OffSpring be considered a subcategory of 'Son'?, True
Can OffSpring be considered a subcategory of 'GrandMother that is also Son'?, True
Can OffSpring be considered a subcategory of 'Female'?, True
Can OffSpring be considered a subcategory of 'Female that is also GrandMother that is also Son'?, True
Can OffSpring be considered a subcategory of 'Father'?, \nFalse
Can OffSpring be considered a subcategory of 'Child'?, \nFalse
Can OffSpring be considered a subcategory of 'Person'?, \nFalse
Can OffSpring be considered a subcategory of 'Brother'?, \nFalse
Can OffSpring be considered a subcategory of 'Parent'?, True
Can OffSpring be considered a subcategory of 'Female that is also GrandMother that is also Parent that is also Son'?, True
Can OffSpring be considered a subcategory of 'Daughter'?, True
Can OffSpring be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Parent that is also Son'?, True
Can OffSpring be considered a subcategory of 'Man'?, \nFalse
Can OffSpring be considered a subcategory of 'Mother'?, \nFalse
Can OffSpring be considered a subcategory of 'GrandParent'?, \nFalse
Can OffSpring be considered a subcategory of 'Sex'?, \nFalse
Can OffSpring be considered a subcategory of 'Sister'?, \nFalse
Can OffSpring be considered a subcategory of 'Woman'?, \nFalse
Can OffSpring be considered a subcategory of 'Male'?, \nTrue
Can OffSpring be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Male that is also Parent that is also Son'?, True
Can OffSpring be considered a subcategory of 'Sibling'?, \nTrue
Can OffSpring be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Male that is also Parent that is also Sibling that is also Son'?, True
Can OffSpring be considered a subcategory of 'GrandFather'?, True
Can OffSpring be considered a subcategory of 'Daughter that is also Female that is also GrandFather that is also GrandMother that is also Male that is also Parent that is also Sibling that is also Son'?, \nFalse
Can OffSpring be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Male that is also Parent that is also Sibling that is also Son that is also Thing'?, \nFalse
Can Man that is also Woman be considered a subcategory of 'Sister'?, \nFalse
Can Male be considered a subcategory of 'something that hasSibling some Mother'?, False
Can something that hasParent some Sister be considered a subcategory of 'Sex'?, False
Can Son be considered a subcategory of 'something that hasParent some Brother'?, True
Can Son be considered a subcategory of 'GrandMother'?, True
Can Son be considered a subcategory of 'Thing'?, \nTrue
Can Son be considered a subcategory of 'GrandMother that is also Thing'?, False
Can Son be considered a subcategory of 'Female'?, \nFalse
Can Son be considered a subcategory of 'Father'?, \nFalse
Can Son be considered a subcategory of 'Child'?, True
Can Son be considered a subcategory of 'Child that is also GrandMother'?, True
Can Son be considered a subcategory of 'Person'?, True
Can Son be considered a subcategory of 'Child that is also GrandMother that is also Person'?, True
Can Son be considered a subcategory of 'Brother'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also GrandMother that is also Person'?, \nFalse
Can Son be considered a subcategory of 'Parent'?, True
Can Son be considered a subcategory of 'Child that is also GrandMother that is also Parent that is also Person'?, \nFalse
Can Son be considered a subcategory of 'Daughter'?, \nTrue
Can Son be considered a subcategory of 'Child that is also Daughter that is also GrandMother that is also Person'?, True
Can Son be considered a subcategory of 'Man'?, True
Can Son be considered a subcategory of 'Child that is also Daughter that is also GrandMother that is also Man that is also Person'?, True
Can Son be considered a subcategory of 'Mother'?, False
Can Son be considered a subcategory of 'GrandParent'?, False
Can Son be considered a subcategory of 'Sex'?, False
Can Son be considered a subcategory of 'Sister'?, True
Can Son be considered a subcategory of 'Child that is also Daughter that is also GrandMother that is also Man that is also Person that is also Sister'?, \nFalse
Can Son be considered a subcategory of 'OffSpring'?, True
Can Son be considered a subcategory of 'Child that is also Daughter that is also GrandMother that is also Man that is also OffSpring that is also Person'?, \nFalse
Can Son be considered a subcategory of 'Woman'?, \nFalse
Can Son be considered a subcategory of 'Male'?, \nFalse
Can Son be considered a subcategory of 'Sibling'?, \nFalse
Can Son be considered a subcategory of 'GrandFather'?, \nFalse
Can Son be considered a subcategory of 'Child that is also Daughter that is also GrandMother that is also Man that is also Person that is also Thing'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also GrandMother that is also Man that is also Person that is also Thing'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also GrandMother that is also Man that is also Parent that is also Person that is also Thing'?, \nFalse
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also GrandMother that is also Man that is also Person that is also Sister that is also Thing'?, True
Can Son be considered a subcategory of 'Brother that is also Child that is also Daughter that is also GrandMother that is also Man that is also OffSpring that is also Person that is also Sister that is also Thing'?, \nFalse
Can something that hasSibling some Female be considered a subcategory of 'Sex'?, True
Can something that hasSibling some Female be considered a subcategory of 'GrandMother'?, False
Can something that hasSibling some Female be considered a subcategory of 'Son'?, \nFalse
Can something that hasSibling some Female be considered a subcategory of 'Female'?, False
Can something that hasSibling some Female be considered a subcategory of 'Father'?, \nFalse
Can something that hasSibling some Female be considered a subcategory of 'Child'?, False
Can something that hasSibling some Female be considered a subcategory of 'Person'?, False
Can something that hasSibling some Female be considered a subcategory of 'Brother'?, True
Can Thing be considered a subcategory of 'Thing that is also something that (hasSibling some (Female that is also Thing))'?, False
Can Thing be considered a subcategory of 'GrandMother'?, False
Can Thing be considered a subcategory of 'Son'?, False
Can Thing be considered a subcategory of 'Female'?, True
Can Father that is also Mother be considered a subcategory of 'Son'?, True
Can Father that is also Mother be considered a subcategory of 'GrandMother'?, \nFalse
Can Father be considered a subcategory of 'Son'?, \nFalse
Can Mother be considered a subcategory of 'Son'?, True
Can Mother be considered a subcategory of 'GrandMother'?, True
Can Mother be considered a subcategory of 'GrandMother that is also Son'?, True
Can Mother be considered a subcategory of 'Thing'?, False
Can Mother be considered a subcategory of 'Female'?, \nTrue
Can Mother be considered a subcategory of 'Female that is also GrandMother that is also Son'?, True
Can Mother be considered a subcategory of 'Father'?, False
Can Mother be considered a subcategory of 'Child'?, True
Can Mother be considered a subcategory of 'Child that is also Female that is also GrandMother that is also Son'?, False
Can Mother be considered a subcategory of 'Person'?, True
Can Mother be considered a subcategory of 'Female that is also GrandMother that is also Person that is also Son'?, False
Can Mother be considered a subcategory of 'Brother'?, \nFalse
Can Mother be considered a subcategory of 'Parent'?, True
Can Mother be considered a subcategory of 'Female that is also GrandMother that is also Parent that is also Son'?, \nFalse
Can Mother be considered a subcategory of 'Daughter'?, True
Can Mother be considered a subcategory of 'Daughter that is also Female that is also GrandMother that is also Son'?, False
Can Mother be considered a subcategory of 'Man'?, \nTrue
Can Mother be considered a subcategory of 'Female that is also GrandMother that is also Man that is also Son'?, True
Can Mother be considered a subcategory of 'GrandParent'?, False
Can Mother be considered a subcategory of 'Sex'?, \nFalse
Can Mother be considered a subcategory of 'Sister'?, True
Can Mother be considered a subcategory of 'Female that is also GrandMother that is also Man that is also Sister that is also Son'?, True
Can Mother be considered a subcategory of 'OffSpring'?, \nFalse
Can Mother be considered a subcategory of 'Woman'?, \nTrue
Can Mother be considered a subcategory of 'Female that is also GrandMother that is also Man that is also Sister that is also Son that is also Woman'?, False
Can Mother be considered a subcategory of 'Male'?, \nFalse
Can Mother be considered a subcategory of 'Sibling'?, True
Can Mother be considered a subcategory of 'Female that is also GrandMother that is also Man that is also Sibling that is also Sister that is also Son'?, False
Can Mother be considered a subcategory of 'GrandFather'?, False
Can Mother be considered a subcategory of 'Child that is also Female that is also GrandMother that is also Man that is also Sister that is also Son'?, True
Can Mother be considered a subcategory of 'Child that is also Female that is also GrandMother that is also Man that is also Person that is also Sister that is also Son'?, True
Can Mother be considered a subcategory of 'Child that is also Female that is also GrandMother that is also Man that is also Parent that is also Person that is also Sister that is also Son'?, False.
Can Mother be considered a subcategory of 'Child that is also Daughter that is also Female that is also GrandMother that is also Man that is also Person that is also Sister that is also Son'?, False
Can Mother be considered a subcategory of 'Child that is also Female that is also GrandMother that is also Man that is also Person that is also Sister that is also Son that is also Woman'?, False
Can Mother be considered a subcategory of 'Child that is also Female that is also GrandMother that is also Man that is also Person that is also Sibling that is also Sister that is also Son'?, False.
Can GrandFather that is also Woman be considered a subcategory of 'Brother'?, True
Can GrandFather that is also Woman be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandFather that is also Woman be considered a subcategory of 'Son'?, \nFalse
Can GrandFather that is also Woman be considered a subcategory of 'Father'?, False
Can GrandFather that is also Woman be considered a subcategory of 'Child'?, True
Can Woman be considered a subcategory of 'Child'?, True
Can Woman be considered a subcategory of 'GrandMother'?, False
Can Woman be considered a subcategory of 'Thing'?, False
Can Woman be considered a subcategory of 'Son'?, \nFalse
Can Woman be considered a subcategory of 'Female'?, True
Can Woman be considered a subcategory of 'Child that is also Female'?, \nFalse
Can Woman be considered a subcategory of 'Father'?, False
Can Woman be considered a subcategory of 'Person'?, True
Can Woman be considered a subcategory of 'Child that is also Person'?, True
Can Woman be considered a subcategory of 'Brother'?, False
Can Woman be considered a subcategory of 'Parent'?, True
Can Woman be considered a subcategory of 'Child that is also Parent that is also Person'?, \nFalse
Can Woman be considered a subcategory of 'Daughter'?, \nFalse
Can Woman be considered a subcategory of 'Man'?, \nFalse
Can Woman be considered a subcategory of 'Mother'?, True
Can Woman be considered a subcategory of 'Child that is also Mother that is also Person'?, \nFalse
Can Woman be considered a subcategory of 'GrandParent'?, True
Can Woman be considered a subcategory of 'Child that is also GrandParent that is also Person'?, False
Can Woman be considered a subcategory of 'Sex'?, True
Can Woman be considered a subcategory of 'Child that is also Person that is also Sex'?, \nFalse
Can Woman be considered a subcategory of 'Sister'?, True
Can Woman be considered a subcategory of 'Child that is also Person that is also Sister'?, \nFalse
Can Woman be considered a subcategory of 'OffSpring'?, False
Can Woman be considered a subcategory of 'Male'?, True
Can Woman be considered a subcategory of 'Child that is also Male that is also Person'?, \nFalse
Can Woman be considered a subcategory of 'Sibling'?, True
Can Woman be considered a subcategory of 'Child that is also Person that is also Sibling'?, True
Can Woman be considered a subcategory of 'GrandFather'?, False
Can Woman be considered a subcategory of 'Child that is also Female that is also Person that is also Sibling'?, \nFalse
Can Woman be considered a subcategory of 'Child that is also Parent that is also Person that is also Sibling'?, True
Can Woman be considered a subcategory of 'Child that is also Mother that is also Parent that is also Person that is also Sibling'?, True
Can Woman be considered a subcategory of 'Child that is also GrandParent that is also Mother that is also Parent that is also Person that is also Sibling'?, \nFalse
Can Woman be considered a subcategory of 'Child that is also Mother that is also Parent that is also Person that is also Sex that is also Sibling'?, True
Can Woman be considered a subcategory of 'Child that is also Mother that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister'?, True
Can Woman be considered a subcategory of 'Child that is also Male that is also Mother that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister'?, True
Can Female that is also GrandMother be considered a subcategory of 'OffSpring'?, True
Can Female that is also GrandMother be considered a subcategory of 'Parent'?, \nFalse
Can GrandMother be considered a subcategory of 'Daughter'?, \nFalse
Can Female be considered a subcategory of 'Daughter'?, True
Can Female be considered a subcategory of 'GrandMother'?, \nFalse
Can Female be considered a subcategory of 'Thing'?, \nFalse
Can Female be considered a subcategory of 'Son'?, False
Can Female be considered a subcategory of 'Father'?, \nFalse
Can Female be considered a subcategory of 'Child'?, False
Can Female be considered a subcategory of 'Person'?, True
Can Female be considered a subcategory of 'Daughter that is also Person'?, True
Can Female be considered a subcategory of 'Parent'?, False
Can Female be considered a subcategory of 'Man'?, False
Can Female be considered a subcategory of 'Mother'?, \nTrue
Can Female be considered a subcategory of 'Daughter that is also Mother that is also Person'?, \nFalse
Can Female be considered a subcategory of 'GrandParent'?, True
Can Female be considered a subcategory of 'Daughter that is also GrandParent that is also Person'?, \nFalse
Can Female be considered a subcategory of 'Sex'?, \nFalse
Can Female be considered a subcategory of 'Sister'?, \nFalse
Can Female be considered a subcategory of 'OffSpring'?, True
Can Female be considered a subcategory of 'Daughter that is also OffSpring that is also Person'?, \nFalse
Can Female be considered a subcategory of 'Woman'?, \nTrue
Can Female be considered a subcategory of 'Daughter that is also Person that is also Woman'?, True
Can Female be considered a subcategory of 'Male'?, True
Can Female be considered a subcategory of 'Daughter that is also Male that is also Person that is also Woman'?, False
Can Female be considered a subcategory of 'Sibling'?, True
Can Female be considered a subcategory of 'Daughter that is also Person that is also Sibling that is also Woman'?, \nFalse
Can Female be considered a subcategory of 'GrandFather'?, False
Can Female be considered a subcategory of 'Daughter that is also Mother that is also Person that is also Woman'?, \nFalse
Can Female be considered a subcategory of 'Daughter that is also GrandParent that is also Person that is also Woman'?, False
Can Female be considered a subcategory of 'Daughter that is also OffSpring that is also Person that is also Woman'?, True
Can Female be considered a subcategory of 'Daughter that is also Male that is also OffSpring that is also Person that is also Woman'?, True
Can Female be considered a subcategory of 'Daughter that is also Male that is also OffSpring that is also Person that is also Sibling that is also Woman'?, False
Can Child be considered a subcategory of 'something that hasSex some Sister'?, \nFalse
Can Daughter that is also GrandMother be considered a subcategory of 'GrandParent'?, True
Can GrandMother be considered a subcategory of 'GrandParent'?, True
Can GrandMother be considered a subcategory of 'Thing'?, True
Can GrandMother be considered a subcategory of 'GrandParent that is also Thing'?, \nFalse
Can GrandMother be considered a subcategory of 'Son'?, \nFalse
Can GrandMother be considered a subcategory of 'Female'?, True
Can GrandMother be considered a subcategory of 'Female that is also GrandParent'?, \nFalse
Can GrandMother be considered a subcategory of 'Father'?, True
Can GrandMother be considered a subcategory of 'Father that is also GrandParent'?, \nFalse
Can GrandMother be considered a subcategory of 'Child'?, True
Can GrandMother be considered a subcategory of 'Child that is also GrandParent'?, \nFalse
Can GrandMother be considered a subcategory of 'Person'?, \nFalse
Can GrandMother be considered a subcategory of 'Parent'?, False
Can GrandMother be considered a subcategory of 'Man'?, \nFalse
Can GrandMother be considered a subcategory of 'Mother'?, True
Can GrandMother be considered a subcategory of 'GrandParent that is also Mother'?, True
Can GrandMother be considered a subcategory of 'Sex'?, \nFalse
Can GrandMother be considered a subcategory of 'Sister'?, \nFalse
Can GrandMother be considered a subcategory of 'OffSpring'?, True
Can GrandMother be considered a subcategory of 'GrandParent that is also Mother that is also OffSpring'?, True
Can GrandMother be considered a subcategory of 'Woman'?, True
Can GrandMother be considered a subcategory of 'GrandParent that is also Mother that is also OffSpring that is also Woman'?, \nFalse
Can GrandMother be considered a subcategory of 'Male'?, False
Can GrandMother be considered a subcategory of 'Sibling'?, \nFalse
Can GrandMother be considered a subcategory of 'GrandFather'?, True
Can GrandMother be considered a subcategory of 'GrandFather that is also GrandParent that is also Mother that is also OffSpring'?, True
Can GrandMother be considered a subcategory of 'GrandFather that is also GrandParent that is also Mother that is also OffSpring that is also Thing'?, True
Can GrandMother be considered a subcategory of 'Female that is also GrandFather that is also GrandParent that is also Mother that is also OffSpring that is also Thing'?, True
Can GrandMother be considered a subcategory of 'Father that is also Female that is also GrandFather that is also GrandParent that is also Mother that is also OffSpring that is also Thing'?, False.
Can GrandMother be considered a subcategory of 'Child that is also Female that is also GrandFather that is also GrandParent that is also Mother that is also OffSpring that is also Thing'?, False.
Can GrandMother be considered a subcategory of 'Female that is also GrandFather that is also GrandParent that is also Mother that is also OffSpring that is also Woman that is also Thing'?, True
Can Parent be considered a subcategory of 'something that hasChild some Sister'?, \nFalse
Can Sex be considered a subcategory of 'something that hasSibling some Man'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasParent some GrandFather'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasSibling some Woman'?, \nFalse
Can Man be considered a subcategory of 'something that hasSibling some Sister'?, \nFalse
