Parent and Person SubClassOf Father, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and Man and Parent and Person and Sex and Woman and Thing)) SubClassOf Sibling, \nFalse
GrandMother and Male and Man and OffSpring and Person and Sister and Son and Woman and Thing and (hasSibling some (Father and Female and GrandFather and Man and Parent and Person and Sex and Son and Thing)) SubClassOf Sibling, \nTrue
Man and OffSpring SubClassOf Brother, \nFalse
hasSibling some OffSpring SubClassOf Brother, \nFalse
Can Parent that is also Person be considered a subcategory of 'Father'?, \nIn
Can GrandParent that is also Person be considered a subcategory of 'Woman'?, \nFalse
Can GrandFather be considered a subcategory of 'OffSpring'?, \nIn
Can something that hasParent some GrandMother be considered a subcategory of 'Male'?, \nOW
Can GrandMother that is also GrandParent be considered a subcategory of 'OffSpring'?, \nIn
Can Son be considered a subcategory of 'something that hasSex some Parent'?, \nFalse
Can Parent be considered a subcategory of 'something that hasChild some Male'?, \nIn
Can Female that is also GrandMother be considered a subcategory of 'Daughter'?, \nFalse
Can GrandFather be considered a subcategory of 'Daughter'?, \nFalse
Can Father that is also Mother be considered a subcategory of 'Male'?, \nFalse
Can Daughter that is also OffSpring be considered a subcategory of 'Father'?, \nFalse
Can Male that is also Mother be considered a subcategory of 'Sister'?, \nFalse
Can something that hasSex some OffSpring be considered a subcategory of 'GrandMother'?, \nFalse
Can Man that is also Woman be considered a subcategory of 'Sister'?, \nFalse
Can Male be considered a subcategory of 'something that hasSibling some Mother'?, \nFalse
Can something that hasParent some Sister be considered a subcategory of 'Sex'?, \nIn
Can Son be considered a subcategory of 'something that hasParent some Brother'?, \nThe
Can GrandFather that is also OffSpring be considered a subcategory of 'Son'?, \nFalse
Can Sibling that is also Son be considered a subcategory of 'Woman'?, \nIn
Can something that hasSibling some Female be considered a subcategory of 'Sex'?, \nIn
Can Father that is also Mother be considered a subcategory of 'Son'?, \nFalse
Can GrandFather that is also Woman be considered a subcategory of 'Brother'?, \nFalse
Can Child that is also Person be considered a subcategory of 'Male'?, \nFalse
Can Female that is also GrandMother be considered a subcategory of 'OffSpring'?, \nIn
Can Father that is also Mother be considered a subcategory of 'OffSpring'?, \nFalse
Can Parent that is also Sister be considered a subcategory of 'Child'?, \nIn
Can Man be considered a subcategory of 'Son'?, \nFalse
Can something that hasSex some Woman be considered a subcategory of 'Male'?, \nFalse
Can something that hasChild some Child be considered a subcategory of 'Child'?, \nIn
Can something that hasParent some OffSpring be considered a subcategory of 'Person'?, \nIn
Can something that hasSibling some Son be considered a subcategory of 'Person'?, \nFalse
Can Man that is also Son be considered a subcategory of 'Daughter'?, \nFalse
Can Male that is also Mother be considered a subcategory of 'Sibling'?, \nFalse
Can GrandFather that is also Sibling be considered a subcategory of 'Sex'?, \nFalse
Can Father that is also Male be considered a subcategory of 'Mother'?, \nFalse
Can Father that is also GrandFather be considered a subcategory of 'Mother'?, \nFalse
Can Child that is also Parent be considered a subcategory of 'Woman'?, \nFalse
Can Brother that is also Person be considered a subcategory of 'Daughter'?, \nFalse
Can Brother that is also Woman be considered a subcategory of 'Female'?, \nFalse
Can Child that is also Woman be considered a subcategory of 'Daughter'?, \nFalse
Can Female that is also Man be considered a subcategory of 'Mother'?, \nFalse
Can Mother that is also Person be considered a subcategory of 'Sex'?, \nFalse
Can something that hasChild some GrandParent be considered a subcategory of 'Brother'?, \nFalse
Can Sibling that is also Sister be considered a subcategory of 'Brother'?, \nFalse
Can Female that is also Person be considered a subcategory of 'Woman'?, \nFalse
Can GrandParent that is also Person be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasSibling some Son be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandParent be considered a subcategory of 'Woman'?, \nFalse
Can Male that is also OffSpring be considered a subcategory of 'Father'?, \nFalse
Can Child be considered a subcategory of 'something that hasSex some Sister'?, \nFalse
Can Female that is also Sibling be considered a subcategory of 'Man'?, \nFalse
Can Female that is also Mother be considered a subcategory of 'Father'?, \nFalse
Can Daughter that is also GrandMother be considered a subcategory of 'GrandParent'?, \nFalse
Can Man that is also Sex be considered a subcategory of 'GrandParent'?, \nFalse
Can Parent be considered a subcategory of 'something that hasChild some Sister'?, \nIn
Can something that hasChild some Person be considered a subcategory of 'Person'?, \nIn
Can Sex be considered a subcategory of 'something that hasSibling some Man'?, \nFalse
Can OffSpring that is also Sister be considered a subcategory of 'Daughter'?, \nIn
Can Brother that is also GrandParent be considered a subcategory of 'GrandFather'?, \nIn
Can Daughter be considered a subcategory of 'something that hasParent some GrandFather'?, \nIn
Can Child that is also Person be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasSibling some Woman'?, \nFalse
Can Person that is also Sister be considered a subcategory of 'Parent'?, \nIn
Can Daughter that is also GrandFather be considered a subcategory of 'Male'?, \nFalse
Can Daughter that is also GrandMother be considered a subcategory of 'Man'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Daughter'?, \nFalse
Can Male that is also Sister be considered a subcategory of 'Child'?, \nFalse
Can OffSpring that is also Sibling be considered a subcategory of 'Man'?, \nFalse
Can Man be considered a subcategory of 'something that hasSibling some Sister'?, \nFalse
Can GrandParent that is also Sister be considered a subcategory of 'GrandMother'?, \nFalse
Can something that hasChild some Brother be considered a subcategory of 'Father'?, \nIn
Can GrandMother that is also Woman be considered a subcategory of 'Sister'?, \nFalse
Can OffSpring be considered a subcategory of 'GrandFather'?, \nFalse
Can Son be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter that is also Man be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandFather that is also GrandParent be considered a subcategory of 'Daughter'?, \nFalse
Can GrandMother that is also OffSpring be considered a subcategory of 'Son'?, \nFalse
Can Child that is also Daughter be considered a subcategory of 'Woman'?, \nIn
Can Daughter be considered a subcategory of 'something that hasSex some Child'?, \nIn
Can Mother be considered a subcategory of 'something that hasChild some Son'?, \nIn
Can GrandMother that is also Woman be considered a subcategory of 'Parent'?, \nFalse
Can Father be considered a subcategory of 'something that hasSibling some Parent'?, \nIn
Can Parent that is also Sex be considered a subcategory of 'OffSpring'?, \nFalse
Can something that hasParent some Brother be considered a subcategory of 'OffSpring'?, \nIn
Can GrandParent that is also Sex be considered a subcategory of 'Child'?, \nIn
Can Brother that is also OffSpring be considered a subcategory of 'Son'?, \nFalse
Can GrandParent that is also Sister be considered a subcategory of 'Male'?, \nFalse
Can Man that is also Sibling be considered a subcategory of 'Child'?, \nFalse
Can Daughter that is also GrandFather be considered a subcategory of 'Woman'?, \nFalse
Can Father that is also Female be considered a subcategory of 'Sister'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Woman'?, \nFalse
Can Child that is also Woman be considered a subcategory of 'Sex'?, \nFalse
Can Child that is also Parent be considered a subcategory of 'Female'?, \nFalse
Can Brother that is also OffSpring be considered a subcategory of 'Mother'?, \nFalse
Can Father that is also GrandParent be considered a subcategory of 'Woman'?, \nFalse
Can something that hasChild some Sister be considered a subcategory of 'Female'?, \nIn
Can GrandMother that is also Man be considered a subcategory of 'Woman'?, \nIn
Can Brother be considered a subcategory of 'something that hasSex some Mother'?, \nFalse
Can GrandFather that is also Son be considered a subcategory of 'Child'?, \nFalse
Can Sibling that is also Son be considered a subcategory of 'Brother'?, \nOW
Can Male that is also Sex be considered a subcategory of 'Brother'?, \nFalse
Can something that hasSibling some Sex be considered a subcategory of 'Son'?, \nFalse
Can Father that is also Parent be considered a subcategory of 'Woman'?, \nFalse
Can Male that is also Person be considered a subcategory of 'Child'?, \nFalse
Can something that hasParent some Daughter be considered a subcategory of 'Son'?, \nIn
Can something that hasSibling some GrandFather be considered a subcategory of 'Father'?, \nFalse
Can Father that is also Person be considered a subcategory of 'Sister'?, \nFalse
Can Male that is also Parent be considered a subcategory of 'Man'?, \nIn
Can something that hasParent some Father be considered a subcategory of 'Father'?, \nIn
Can Female that is also Parent be considered a subcategory of 'GrandParent'?, \nFalse
Can Brother be considered a subcategory of 'something that hasParent some GrandParent'?, \nIn
Can Daughter that is also GrandFather be considered a subcategory of 'Sibling'?, \nFalse
Can Child that is also Sibling be considered a subcategory of 'Person'?, \nThe
Can something that hasSex some Female be considered a subcategory of 'Female'?, \nFalse
Can something that hasSibling some Mother be considered a subcategory of 'Daughter'?, \nIn
Can Woman be considered a subcategory of 'something that hasSibling some GrandFather'?, \nFalse
Can Male that is also Sibling be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter that is also Father be considered a subcategory of 'Brother'?, \nFalse
Can Sister be considered a subcategory of 'something that hasSex some Daughter'?, \nIn
Can Man be considered a subcategory of 'something that hasChild some Sibling'?, \nIn
Can something that hasSex some Sibling be considered a subcategory of 'Brother'?, \nMan
Can something that hasChild some Female be considered a subcategory of 'Mother'?, \nIn
Can Woman be considered a subcategory of 'something that hasParent some OffSpring'?, \nFalse
Can Child that is also GrandParent be considered a subcategory of 'OffSpring'?, \nFalse
Can Person be considered a subcategory of 'something that hasChild some Child'?, \nThe
Can Daughter that is also GrandMother be considered a subcategory of 'Son'?, \nFalse
Can Man be considered a subcategory of 'something that hasSex some Child'?, \nFalse
Can Brother that is also Son be considered a subcategory of 'OffSpring'?, \nFalse
Can Daughter that is also Mother be considered a subcategory of 'Woman'?, \nFalse
Can OffSpring that is also Sex be considered a subcategory of 'Woman'?, \nFalse
Can Father that is also Man be considered a subcategory of 'Male'?, \nFalse
Can GrandParent be considered a subcategory of 'Child'?, \nFalse
Can Female that is also GrandMother be considered a subcategory of 'Sibling'?, \nFalse
Can GrandMother that is also Sister be considered a subcategory of 'Male'?, \nFalse
Can Man be considered a subcategory of 'something that hasSex some GrandFather'?, \nFalse
Can GrandParent be considered a subcategory of 'something that hasChild some Man'?, \nFalse
Can something that hasChild some Female be considered a subcategory of 'GrandParent'?, \nIn
Can GrandMother that is also Mother be considered a subcategory of 'GrandFather'?, \nFalse
Can Brother that is also Sex be considered a subcategory of 'Sibling'?, \nI
Can Brother that is also Son be considered a subcategory of 'Sibling'?, \nIn
Can Daughter that is also GrandMother be considered a subcategory of 'Female'?, \nIn
Can Father that is also Sex be considered a subcategory of 'Daughter'?, \nFalse
Can something that hasSibling some Sister be considered a subcategory of 'Mother'?, \nIn
Can Father that is also Man be considered a subcategory of 'Sex'?, \nFalse
Can Male that is also Woman be considered a subcategory of 'Person'?, \nFalse
Can something that hasParent some Child be considered a subcategory of 'Brother'?, \nFalse
Can Female that is also Son be considered a subcategory of 'Daughter'?, \nFalse
Can Brother that is also Parent be considered a subcategory of 'Woman'?, \nFalse
Can GrandFather that is also GrandParent be considered a subcategory of 'Sex'?, \nFalse
Can OffSpring that is also Sibling be considered a subcategory of 'Female'?, \nOW
Can GrandParent be considered a subcategory of 'something that hasSex some Sibling'?, \nIn
Can Brother that is also Daughter be considered a subcategory of 'GrandParent'?, \nFalse
Can Father that is also Man be considered a subcategory of 'GrandMother'?, \nFalse
Can Sister that is also Son be considered a subcategory of 'Man'?, \nFalse
Can Man that is also Parent be considered a subcategory of 'Father'?, \nFalse
Can Sex that is also Woman be considered a subcategory of 'GrandFather'?, \nFalse
Can Child that is also OffSpring be considered a subcategory of 'Man'?, \nIn
Can Father that is also Son be considered a subcategory of 'Person'?, \nFalse
Can GrandFather that is also Male be considered a subcategory of 'Person'?, \nIn
Can something that hasParent some GrandParent be considered a subcategory of 'Father'?, \nIn
Can something that hasSibling some Sibling be considered a subcategory of 'Sibling'?, \nIn
Can Brother that is also Person be considered a subcategory of 'GrandFather'?, \nFalse
Can Daughter that is also Woman be considered a subcategory of 'Female'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasSex some GrandParent'?, \nIn
Can Female be considered a subcategory of 'something that hasChild some GrandFather'?, \nIn
Can GrandFather that is also Parent be considered a subcategory of 'Sibling'?, \nFalse
Can GrandParent that is also Person be considered a subcategory of 'Brother'?, \nFalse
Can OffSpring that is also Sibling be considered a subcategory of 'Son'?, \nIn
Can Female that is also Woman be considered a subcategory of 'Sibling'?, \nFalse
Can something that hasSibling some Daughter be considered a subcategory of 'Parent'?, \nIn
Can Child that is also Sister be considered a subcategory of 'GrandMother'?, \nFalse
Can Female that is also Sibling be considered a subcategory of 'Parent'?, \nFalse
Can something that hasSex some Person be considered a subcategory of 'Parent'?, \nFalse
Can Daughter that is also Sex be considered a subcategory of 'Parent'?, \nFalse
Can Female that is also Woman be considered a subcategory of 'Sister'?, \nFalse
Can Person be considered a subcategory of 'something that hasSex some OffSpring'?, \nFalse
Can GrandMother that is also Sibling be considered a subcategory of 'Brother'?, \nFalse
Can OffSpring that is also Parent be considered a subcategory of 'Father'?, \nIn
Can Daughter that is also Father be considered a subcategory of 'Parent'?, \nFalse
Can GrandFather that is also Sister be considered a subcategory of 'Sibling'?, \nFalse
Can Child that is also Mother be considered a subcategory of 'Father'?, \nFalse
Can Daughter that is also Son be considered a subcategory of 'Child'?, \nIn
Can Male that is also Sex be considered a subcategory of 'Son'?, \nThe
Can GrandFather that is also Sex be considered a subcategory of 'Male'?, \nFalse
Can Brother that is also Person be considered a subcategory of 'Child'?, \nFalse
Can Child that is also Mother be considered a subcategory of 'Son'?, \nFalse
Can GrandFather that is also Sister be considered a subcategory of 'Parent'?, \nFalse
Can something that hasParent some Parent be considered a subcategory of 'Woman'?, \nIn
Can GrandParent be considered a subcategory of 'something that hasSibling some OffSpring'?, \nIn
Can Mother that is also OffSpring be considered a subcategory of 'Male'?, \nFalse
Can Woman be considered a subcategory of 'something that hasChild some Child'?, \nThe
Can Female that is also Person be considered a subcategory of 'Parent'?, \nFalse
Can Female that is also Mother be considered a subcategory of 'Male'?, \nFalse
Can GrandParent be considered a subcategory of 'OffSpring'?, \nFalse
Can GrandFather that is also Sibling be considered a subcategory of 'Father'?, \nFalse
Can Daughter that is also Woman be considered a subcategory of 'Sister'?, \nFalse
Can Man that is also Person be considered a subcategory of 'Sibling'?, \nFalse
Can GrandMother that is also Sister be considered a subcategory of 'Sibling'?, \nFalse
Can Male that is also Sex be considered a subcategory of 'Female'?, \nFalse
Can Child that is also GrandParent be considered a subcategory of 'Sister'?, \nFalse
Can Brother that is also Daughter be considered a subcategory of 'Mother'?, \nFalse
Can Mother that is also Woman be considered a subcategory of 'Sex'?, \nFalse
Can Father that is also Man be considered a subcategory of 'Brother'?, \nFalse
Can Person that is also Sex be considered a subcategory of 'Brother'?, \nFalse
Can Man that is also Parent be considered a subcategory of 'Woman'?, \nFalse
Can something that hasChild some GrandParent be considered a subcategory of 'Woman'?, \nIn
Can Child that is also OffSpring be considered a subcategory of 'Sex'?, \nFalse
Can Child that is also Sister be considered a subcategory of 'Female'?, \nIn
Can GrandParent that is also Male be considered a subcategory of 'Brother'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasSex some Mother'?, \nFalse
Can GrandMother that is also Sibling be considered a subcategory of 'OffSpring'?, \nFalse
Can Father that is also Son be considered a subcategory of 'OffSpring'?, \nIn
Can Brother that is also Sister be considered a subcategory of 'Man'?, \nFalse
Can GrandFather that is also Woman be considered a subcategory of 'Father'?, \nFalse
Can something that hasSex some Sister be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasSibling some Man be considered a subcategory of 'Man'?, \nIn
Can Man that is also Mother be considered a subcategory of 'Person'?, \nFalse
Can GrandParent that is also OffSpring be considered a subcategory of 'Person'?, \nIn
Can Child that is also Person be considered a subcategory of 'Daughter'?, \nFalse
Can Daughter that is also Sister be considered a subcategory of 'Sibling'?, \nIn
Can something that hasChild some Male be considered a subcategory of 'Sex'?, \nIn
Can GrandMother be considered a subcategory of 'something that hasSex some Female'?, \nIn
Can Child that is also Sibling be considered a subcategory of 'GrandParent'?, \nFalse
Can Parent that is also Son be considered a subcategory of 'Mother'?, \nFalse
Can Sex be considered a subcategory of 'OffSpring'?, \nFalse
Can Man be considered a subcategory of 'something that hasChild some Female'?, \nFalse
Can GrandParent that is also Person be considered a subcategory of 'Daughter'?, \nFalse
Can Daughter that is also Parent be considered a subcategory of 'Sister'?, \nFalse
Can Man that is also Sex be considered a subcategory of 'GrandMother'?, \nFalse
Can Person that is also Woman be considered a subcategory of 'OffSpring'?, \nFalse
Can Child that is also GrandParent be considered a subcategory of 'Parent'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasParent some Father'?, \nIn
Can GrandMother that is also Person be considered a subcategory of 'OffSpring'?, \nIn
Can GrandFather that is also Person be considered a subcategory of 'Father'?, \nFalse
Can Daughter that is also Sibling be considered a subcategory of 'Sister'?, \nFalse
Can GrandMother be considered a subcategory of 'something that hasSex some Man'?, \nFalse
Can Father be considered a subcategory of 'something that hasChild some Father'?, \nIn
Can Woman be considered a subcategory of 'something that hasParent some GrandParent'?, \nIn
Can Male be considered a subcategory of 'something that hasSibling some GrandParent'?, \nFalse
Can Female that is also Sex be considered a subcategory of 'Sister'?, \nFalse
Can Brother be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasChild some GrandParent'?, \nIn
Can Person that is also Sibling be considered a subcategory of 'Sex'?, \nFalse
Can something that hasSibling some Male be considered a subcategory of 'Person'?, \nIn
Can Father be considered a subcategory of 'something that hasSex some GrandParent'?, \nThe
Can Parent that is also Woman be considered a subcategory of 'Daughter'?, \nFalse
Can Male be considered a subcategory of 'something that hasParent some Daughter'?, \nFalse
Can Daughter that is also Female be considered a subcategory of 'Sex'?, \nFalse
Can Brother that is also Sex be considered a subcategory of 'Female'?, \nI
Can Female that is also Sister be considered a subcategory of 'Brother'?, \nFalse
Can Female that is also GrandFather be considered a subcategory of 'GrandParent'?, \nFalse
Can something that hasChild some Sister be considered a subcategory of 'Brother'?, \nIn
Can GrandMother that is also Mother be considered a subcategory of 'Female'?, \nFalse
Can Father that is also OffSpring be considered a subcategory of 'Son'?, \nFalse
Can OffSpring that is also Person be considered a subcategory of 'Mother'?, \nFalse
Can Daughter that is also Son be considered a subcategory of 'Sex'?, \nFalse
Can Mother be considered a subcategory of 'Man'?, \nFalse
Can OffSpring that is also Woman be considered a subcategory of 'Father'?, \nFalse
Can Sibling be considered a subcategory of 'Woman'?, \nFalse
Can something that hasChild some Father be considered a subcategory of 'GrandMother'?, \nThe
Can Child be considered a subcategory of 'something that hasChild some Sister'?, \nIn
Can GrandMother that is also Parent be considered a subcategory of 'Sister'?, \nFalse
Can Child that is also Daughter be considered a subcategory of 'GrandFather'?, \nFalse
Can Sex that is also Sister be considered a subcategory of 'Man'?, \nFalse
Can Brother that is also Man be considered a subcategory of 'GrandParent'?, \nFalse
Can GrandParent that is also Woman be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasParent some Son be considered a subcategory of 'Sibling'?, \nIn
Can Man that is also OffSpring be considered a subcategory of 'Father'?, \nFalse
Can GrandParent that is also Son be considered a subcategory of 'Father'?, \nThis
Can GrandParent that is also Sex be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandParent that is also Son be considered a subcategory of 'Person'?, \nFalse
Can Female be considered a subcategory of 'something that hasChild some Child'?, \nFalse
Can Daughter that is also Sister be considered a subcategory of 'Male'?, \nFalse
Can Child that is also Daughter be considered a subcategory of 'Male'?, \nFalse
Can Man that is also Parent be considered a subcategory of 'Sister'?, \nFalse
Can Father that is also Person be considered a subcategory of 'GrandParent'?, \nFalse
Can Person that is also Sibling be considered a subcategory of 'Mother'?, \nFalse
Can Sibling be considered a subcategory of 'something that hasParent some Mother'?, \nIn
Can Daughter that is also Sibling be considered a subcategory of 'Mother'?, \nFalse
Can GrandParent that is also Man be considered a subcategory of 'GrandMother'?, \nFalse
Can Daughter that is also GrandParent be considered a subcategory of 'GrandMother'?, \nFalse
Can GrandMother that is also Person be considered a subcategory of 'Father'?, \nFalse
Can Parent be considered a subcategory of 'something that hasSex some Man'?, \nFalse
Can something that hasParent some Woman be considered a subcategory of 'OffSpring'?, \nIn
Can Child that is also GrandMother be considered a subcategory of 'Brother'?, \nFalse
Can Child that is also GrandFather be considered a subcategory of 'Woman'?, \nFalse
Can Parent that is also Person be considered a subcategory of 'Woman'?, \nFalse
Can GrandParent that is also Sibling be considered a subcategory of 'Child'?, \nFalse
Can Sex that is also Sibling be considered a subcategory of 'Child'?, \nFalse
Can Father that is also Parent be considered a subcategory of 'Brother'?, \nFalse
Can GrandParent that is also Man be considered a subcategory of 'Male'?, \nFalse
Can Male be considered a subcategory of 'something that hasSex some Woman'?, \nThe
Can GrandMother that is also Sibling be considered a subcategory of 'Male'?, \nFalse
Can Brother that is also Female be considered a subcategory of 'Son'?, \nFalse
Can GrandFather that is also Mother be considered a subcategory of 'Parent'?, \nFalse
Can OffSpring that is also Person be considered a subcategory of 'Male'?, \nIn
Can Female that is also Sex be considered a subcategory of 'GrandMother'?, \nFalse
Can Female that is also Sister be considered a subcategory of 'Parent'?, \nFalse
Can GrandMother that is also GrandParent be considered a subcategory of 'Daughter'?, \nFalse
Can Man that is also Sibling be considered a subcategory of 'Daughter'?, \nFalse
Can Parent be considered a subcategory of 'Sex'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'Mother'?, \nFalse
Can Sex be considered a subcategory of 'something that hasSex some Brother'?, \nFalse
Can Brother be considered a subcategory of 'something that hasChild some Mother'?, \nIn
Can Female that is also GrandParent be considered a subcategory of 'OffSpring'?, \nIn
Can Mother that is also Sibling be considered a subcategory of 'OffSpring'?, \nIn
Can something that hasParent some Sex be considered a subcategory of 'Son'?, \nThe
Can something that hasSibling some Brother be considered a subcategory of 'Son'?, \nThe
Can GrandMother that is also Son be considered a subcategory of 'Mother'?, \nFalse
Can Daughter that is also Male be considered a subcategory of 'Sex'?, \nFalse
Can Father that is also Person be considered a subcategory of 'OffSpring'?, \nFalse
Can Female that is also GrandFather be considered a subcategory of 'Brother'?, \nFalse
Can Brother that is also Sibling be considered a subcategory of 'GrandMother'?, \nFalse
Can Female be considered a subcategory of 'something that hasParent some Person'?, \nFalse
Can Daughter that is also Father be considered a subcategory of 'Sister'?, \nFalse
Can GrandFather that is also Sex be considered a subcategory of 'Sister'?, \nFalse
Can Male that is also Man be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasSex some Mother be considered a subcategory of 'Man'?, \nFalse
Can Brother be considered a subcategory of 'something that hasSibling some GrandParent'?, \nIn
Can Sister that is also Woman be considered a subcategory of 'GrandFather'?, \nFalse
Can GrandMother that is also Man be considered a subcategory of 'Sibling'?, \nFalse
Can Father that is also Person be considered a subcategory of 'Sibling'?, \nFalse
Can something that hasSibling some OffSpring be considered a subcategory of 'Man'?, \nThe
Can Sister that is also Son be considered a subcategory of 'Daughter'?, \nFalse
Can OffSpring that is also Woman be considered a subcategory of 'Mother'?, \nIn
Can Child be considered a subcategory of 'Sex'?, \nFalse
Can Daughter that is also GrandFather be considered a subcategory of 'Person'?, \nFalse
Can Mother that is also Person be considered a subcategory of 'GrandParent'?, \nFalse
Can Female that is also Man be considered a subcategory of 'Father'?, \nFalse
Can Brother that is also Mother be considered a subcategory of 'Sister'?, \nFalse
Can GrandParent that is also Sister be considered a subcategory of 'Person'?, \nFalse
Can Person be considered a subcategory of 'something that hasParent some Person'?, \nIn
Can Sibling be considered a subcategory of 'Brother'?, \nFalse
Can OffSpring that is also Woman be considered a subcategory of 'GrandMother'?, \nFalse
Can Male that is also Son be considered a subcategory of 'GrandMother'?, \nFalse
Can Daughter that is also Person be considered a subcategory of 'Man'?, \nFalse
Can Child that is also Female be considered a subcategory of 'Father'?, \nFalse
Can GrandFather that is also Person be considered a subcategory of 'Man'?, \nFalse
Can Child that is also GrandParent be considered a subcategory of 'Person'?, \nFalse
Can Parent that is also Sibling be considered a subcategory of 'Person'?, \nFalse
Can Mother that is also Parent be considered a subcategory of 'Father'?, \nFalse
Can OffSpring be considered a subcategory of 'something that hasParent some Sister'?, \nIn
Can Child be considered a subcategory of 'Male'?, \nFalse
Can something that hasSex some Parent be considered a subcategory of 'Child'?, \nIn
Can Mother that is also Person be considered a subcategory of 'Parent'?, \nFalse
Can Woman be considered a subcategory of 'Male'?, \nFalse
Can GrandParent be considered a subcategory of 'something that hasSex some Brother'?, \nFalse
Can Person be considered a subcategory of 'Brother'?, \nFalse
Can something that hasChild some Man be considered a subcategory of 'Son'?, \nThe
Can GrandParent that is also Sister be considered a subcategory of 'Son'?, \nFalse
Can OffSpring be considered a subcategory of 'something that hasChild some Parent'?, \nMan
Can GrandMother that is also Son be considered a subcategory of 'Male'?, \nFalse
Can Daughter that is also Female be considered a subcategory of 'Parent'?, \nIn
Can Sex be considered a subcategory of 'something that hasSex some Parent'?, \nFalse
Can Female that is also Mother be considered a subcategory of 'Sister'?, \nFalse
Can Sex that is also Son be considered a subcategory of 'GrandMother'?, \nFalse
Can Person that is also Woman be considered a subcategory of 'Brother'?, \nFalse
Can Daughter that is also Sister be considered a subcategory of 'Parent'?, \nIn
Can OffSpring that is also Parent be considered a subcategory of 'GrandFather'?, \nThe
Can Son be considered a subcategory of 'something that hasParent some Man'?, \nIn
Can Sex be considered a subcategory of 'something that hasChild some Sex'?, \nFalse
Can Daughter that is also Mother be considered a subcategory of 'Child'?, \nFalse
Can something that hasSibling some Female be considered a subcategory of 'Sister'?, \nIn
Can Father that is also Mother be considered a subcategory of 'Sister'?, \nFalse
Can GrandParent that is also Parent be considered a subcategory of 'Father'?, \nThe
Can something that hasParent some Sibling be considered a subcategory of 'Father'?, \nIn
Can Female that is also Sister be considered a subcategory of 'GrandParent'?, \nFalse
Can Brother that is also Man be considered a subcategory of 'GrandFather'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasSex some Person'?, \nIn
Can Sibling be considered a subcategory of 'something that hasChild some GrandParent'?, \nIn
Can something that hasSex some Son be considered a subcategory of 'Daughter'?, \nFalse
Can something that hasSibling some GrandMother be considered a subcategory of 'Daughter'?, \nFalse
Can Mother that is also Woman be considered a subcategory of 'Man'?, \nFalse
Can Male that is also OffSpring be considered a subcategory of 'Female'?, \nIn
Can something that hasSex some Daughter be considered a subcategory of 'Parent'?, \nIn
Can something that hasSibling some Sex be considered a subcategory of 'Parent'?, \nFalse
Can Female be considered a subcategory of 'something that hasParent some Female'?, \nFalse
Can Sex that is also Sister be considered a subcategory of 'Son'?, \nFalse
Can Child that is also Sex be considered a subcategory of 'Son'?, \nThe
Can GrandParent that is also Sibling be considered a subcategory of 'GrandMother'?, \nFalse
Can Brother that is also Sister be considered a subcategory of 'Male'?, \nFalse
Can GrandFather be considered a subcategory of 'something that hasParent some Male'?, \nIn
Can Daughter that is also Man be considered a subcategory of 'Sex'?, \nFalse
Can Son be considered a subcategory of 'something that hasParent some Person'?, \nMan
Can Child that is also Sibling be considered a subcategory of 'GrandFather'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'GrandMother'?, \nFalse
Can Daughter that is also Mother be considered a subcategory of 'GrandFather'?, \nFalse
Can something that hasChild some Male be considered a subcategory of 'Sister'?, \nIn
Can Father that is also GrandMother be considered a subcategory of 'Sister'?, \nFalse
Can Daughter that is also Woman be considered a subcategory of 'Child'?, \nIn
Can Father that is also Sister be considered a subcategory of 'OffSpring'?, \nFalse
Can Brother that is also Male be considered a subcategory of 'Son'?, \nFalse
Can something that hasParent some Woman be considered a subcategory of 'Son'?, \nIn
Can Female that is also OffSpring be considered a subcategory of 'Male'?, \nFalse
Can Mother that is also Son be considered a subcategory of 'Male'?, \nFalse
Can GrandFather that is also Man be considered a subcategory of 'OffSpring'?, \nFalse
Can GrandParent that is also Person be considered a subcategory of 'Parent'?, \nIn
Can something that hasSex some GrandFather be considered a subcategory of 'Son'?, \nIn
Can Male that is also Woman be considered a subcategory of 'Child'?, \nFalse
Can OffSpring be considered a subcategory of 'Sister'?, \nFalse
Can Daughter be considered a subcategory of 'something that hasParent some Parent'?, \nMan
