Parent and Person SubClassOf Father, True
Can GrandMother be considered a subcategory of 'Brother that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also Woman that is also something that (hasSibling some (Mother that is also OffSpring that is also Parent that is also Sex that is also Sister))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also Woman that is also something that (hasSibling some (Mother that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Woman))'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also Woman that is also something that (hasSibling some (Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also Woman that is also something that (hasSibling some (Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sibling that is also Sister))'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also Woman that is also something that (hasSibling some (GrandFather that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister))'?, \nTrue
Can Brother that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also Woman that is also Thing that is also something that (hasSibling some (GrandFather that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister)) be considered a subcategory of 'Brother that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also Woman that is also Thing that is also something that (hasSibling some (GrandFather that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister))'?, \nTrue
Can Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also Mother that is also Parent that is also Person that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (GrandFather that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister)) be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also Mother that is also Parent that is also Person that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (GrandFather that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Person that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (GrandFather that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Mother that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (GrandFather that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (GrandFather that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (GrandFather that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (GrandFather that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (GrandFather that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Thing))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (GrandFather that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Son that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (Female that is also GrandFather that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Son that is also Thing))'?, True
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (Father that is also Female that is also GrandFather that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Son that is also Thing))'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (Child that is also Female that is also GrandFather that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Parent that is also Sex that is also Sister that is also Son that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (Child that is also Female that is also GrandFather that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sister that is also Son that is also Thing))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (Brother that is also Child that is also Female that is also GrandFather that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sister that is also Son that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sister that is also Son that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sister that is also Son that is also Thing))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can Son be considered a subcategory of 'something that hasParent some Brother'?, True
Can GrandMother be considered a subcategory of 'something that hasParent some Brother'?, True
Can GrandMother that is also something that (hasParent some Brother) be considered a subcategory of 'GrandMother that is also something that (hasParent some Brother)'?, \nFalse
Can Brother be considered a subcategory of 'GrandMother that is also something that (hasParent some Brother)'?, \nFalse
Can Sex be considered a subcategory of 'GrandMother that is also something that (hasParent some Brother)'?, \nFalse
Can GrandMother be considered a subcategory of 'GrandMother that is also Thing that is also something that (hasParent some Brother)'?, \nTrue
Can GrandMother be considered a subcategory of 'GrandMother that is also Son that is also Thing that is also something that (hasParent some Brother)'?, \nFalse
Can GrandMother be considered a subcategory of 'Female that is also GrandMother that is also Thing that is also something that (hasParent some Brother)'?, \nFalse
Can GrandMother be considered a subcategory of 'Father that is also GrandMother that is also Thing that is also something that (hasParent some Brother)'?, \nFalse
Can GrandMother be considered a subcategory of 'Child that is also GrandMother that is also Thing that is also something that (hasParent some Brother)'?, \nFalse
Can GrandMother be considered a subcategory of 'GrandMother that is also Person that is also Thing that is also something that (hasParent some Brother)'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Person that is also Thing that is also something that (hasParent some Brother)'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Parent that is also Person that is also Thing that is also something that (hasParent some Brother)'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also Daughter that is also GrandMother that is also Person that is also Thing that is also something that (hasParent some Brother)'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Mother that is also Person that is also Thing that is also something that (hasParent some Brother)'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also GrandParent that is also Mother that is also Person that is also Thing that is also something that (hasParent some Brother)'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Mother that is also Person that is also Sex that is also Thing that is also something that (hasParent some Brother)'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Mother that is also Person that is also Sex that is also Sister that is also Thing that is also something that (hasParent some Brother)'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Mother that is also OffSpring that is also Person that is also Sex that is also Thing that is also something that (hasParent some Brother)'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Mother that is also OffSpring that is also Person that is also Sex that is also Woman that is also Thing that is also something that (hasParent some Brother)'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Thing that is also something that (hasParent some Brother)'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some Brother)'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandFather that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some Brother)'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also GrandMother))'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Thing))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Son that is also Thing))'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Female that is also Thing))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Father that is also Female that is also Thing))'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also Thing))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also Person that is also Thing))'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also Parent that is also Thing))'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Female that is also Thing))'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also Mother that is also Thing))'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also GrandParent that is also Thing))'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also Sex that is also Thing))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also Sex that is also Sister that is also Thing))'?, \nFalse
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also OffSpring that is also Sex that is also Thing))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also OffSpring that is also Sex that is also Woman that is also Thing))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also Male that is also OffSpring that is also Sex that is also Woman that is also Thing))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also Male that is also OffSpring that is also Sex that is also Sibling that is also Woman that is also Thing))'?, \nTrue
Can GrandMother be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also GrandFather that is also Male that is also OffSpring that is also Sex that is also Sibling that is also Woman that is also Thing))'?, \nFalse
Can Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Son that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also Male that is also OffSpring that is also Sex that is also Sibling that is also Woman that is also Thing)) be considered a subcategory of 'Brother that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Son that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also Male that is also OffSpring that is also Sex that is also Sibling that is also Woman that is also Thing))'?, True.
Can Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also GrandMother that is also Male that is also OffSpring that is also Sex that is also Sibling that is also Woman that is also Thing)) be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also GrandMother that is also Male that is also OffSpring that is also Sex that is also Sibling that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Female that is also GrandMother that is also Male that is also OffSpring that is also Sex that is also Sibling that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Father that is also Female that is also GrandMother that is also Male that is also OffSpring that is also Sex that is also Sibling that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Father that is also Female that is also GrandMother that is also Male that is also OffSpring that is also Person that is also Sex that is also Sibling that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Father that is also Female that is also GrandMother that is also Male that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandMother that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
Can GrandMother be considered a subcategory of 'Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Man that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing that is also something that (hasParent some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing)) that is also something that (hasSibling some (Brother that is also Child that is also Daughter that is also Father that is also Female that is also GrandFather that is also GrandMother that is also GrandParent that is also Male that is also Mother that is also OffSpring that is also Parent that is also Person that is also Sex that is also Sibling that is also Sister that is also Son that is also Woman that is also Thing))'?, True.
